stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,1,0,0,0,0,1,0,1,4,1,1,1,0,0,5,0
 24-34,0,0,0,1.64,1.64,0,0.82,0.82,0,0.82,0.82,0.82,0,0,9.85,0,0,0,0,1.64,1.64,0
 36-46,0,0,0,0,0.81,1.61,0,0,0,0,0,0.81,0,0.81,3.22,0,0,0,0,0,1.61,0
 48-58,0,0,0,1.15,0.57,0,0,0,0,0,0,1.72,0,0.57,3.44,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,1.96,1.96,0,0,4.91,0,0,0,0,0,0.98,0
 72-82,0,0,0,3.93,3.93,0,0,0,0,0,0.98,0,0.98,0,3.93,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,1.06,2.12,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,2.19,1.09,0,2.19,0,0,0,0,0,0,0,2.19,7.65,1.09,0,0,0,0,0,1.09
108-118,0,0,0.77,0,0.77,1.53,0,0.77,0,0,3.83,0,0,0.77,6.13,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,0,0,0,1.96,0,1.96,1.96,0,1.96,3.92,0,1.96,0,0,0,0,0
