stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,606.18,9053.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.34,0,0,0,0,0,0
  5-6,508.76,5436.99,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,110.33,6.13,0,24.52,116.46,0,0,0,0,0,0
  7-9,49.95,31.54,0,39.43,0,0,141.95,0,0,0,49.95,0,0,0,0,0,1214.47,55.2,0,499.46,5.26,13.14,0,0,0,0,0
 10-12,0,0,0,31.47,0,0,50.35,0,0,0,6.29,0,0,0,0,0,320.99,9.44,0,151.05,0,6.29,0,12.59,0,0,3.15
 14-21,0,0,1,0,24,5,7,0,2,2,0,0,1,11,0,5,58,8,2,2,4,1,22,1,2,21,26
 24-34,0,0,0,0,1.64,0.82,0,0.82,0.82,0,0,0.82,0,0,0,0.82,6.57,2.46,0,0,14.78,0,0,0,0,1.64,4.1
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,2.42,0.81,0,0,5.64,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,0,0,0,0,1.15,0,0,1.15,0,0,0,4.02,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0
