stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,158.14,2635.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,98.07,1575.32,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,24.52,0,0,0,0,0,0
  7-9,15.77,13.14,0,13.14,0,0,0,63.09,0,0,2.63,0,0,0,0,0,0,0,454.77,18.4,0,0,136.69,5.26,5.26,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,34.62,0,0,6.29,0,0,0,0,0,0,0,176.23,0,0,0,28.32,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,26,2,0,0,0,0,1,2,0,4,6,0
 24-34,0,0,0,0,0,1.64,0,1.64,0,0,0,0,0,0,0,0,0,0,34.48,0,0,0.82,0,0,0,0,0,0,9.03,0
 36-46,0,0,0,0,0.81,0,0,10.47,0.81,0,0,0,0,0,0,2.42,0,0,12.89,0,0,0,0,0,0.81,0,0,0,2.42,0
 48-58,0,0,0.57,0,0,0,0,28.69,1.15,0,0,0,0,0,0.57,0.57,0.57,0,13.2,0,1.15,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,17.67,1.96,0,0,0.98,0,0,0.98,0,0,0.98,11.78,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,16.69,2.94,0.98,0,0,0,0,0,0,0,0,10.8,0,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,5.31,1.06,0,0,2.12,0,0,0,2.12,0,1.06,1.06,0,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,0,7.65,0,0,0,1.09,0,0,0,1.09,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0.77,0.77,0,0,0,0.77,0.77,0,0,0,0.77,3.06,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0
