stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.09,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,441.33,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,13.14,0,99.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,22.03,0,25.18,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,84,4,3,0,0,0,1,1,0,4,0,17,0,0,3,0,4,1,0,8,2,1,1,0,0,0,152,0,0,4,5,0,0,0,0,0
 24-34,0,0,0,0.82,100.97,0.82,5.75,0,16.42,0,2.46,0.82,0.82,13.13,0.82,50.07,0,4.93,0.82,2.46,22.16,9.85,0,8.21,82.09,0.82,7.39,0,0,0,521.24,0,0.82,1.64,7.39,0,0,13.13,0,0.82
 36-46,0,0,0,0,43.51,0,9.67,0,13.7,0,3.22,0,0.81,17.72,0,16.92,0,1.61,0.81,2.42,39.48,3.22,0.81,3.22,116.02,0.81,4.03,0,0,0,445.54,0.81,0.81,0,5.64,0,0,8.86,0,0
 48-58,0,0,0,0,39.59,0,10.33,0,20.66,1.72,2.3,0,1.15,20.08,0.57,6.31,0,2.3,1.15,2.3,44.76,7.46,1.15,2.87,64.84,0,3.44,1.72,0,0.57,273.7,0,0.57,0,5.16,0,0,6.31,0,0.57
 60-70,0,0,0,0,53,0,6.87,0,22.58,1.96,7.85,0.98,0.98,18.65,0.98,13.74,0.98,5.89,0,0,73.61,2.94,5.89,5.89,31.41,1.96,2.94,0.98,0,0,165.88,0,0,0,2.94,3.93,2.94,8.83,0,0.98
 72-82,0,0,0.98,0,102.09,0.98,8.83,0,19.63,2.94,12.76,21.6,0.98,29.45,0,29.45,1.96,4.91,0.98,0,169.83,4.91,4.91,6.87,48.1,0.98,0.98,3.93,0,5.89,182.59,0,0,0,1.96,19.63,1.96,24.54,3.93,0.98
 84-94,0,0,0,1.06,215.59,3.19,8.5,0,61.6,3.19,7.43,27.61,3.19,20.18,3.19,29.74,0,7.43,1.06,2.12,118.95,10.62,3.19,4.25,45.67,4.25,2.12,4.25,0,1.06,526.77,0,0,0,2.12,93.46,1.06,14.87,1.06,0
 96-106,0,0,0,0,227.31,1.09,16.39,0,52.46,3.28,12.02,80.87,1.09,30.6,2.19,46.99,0,7.65,4.37,0,111.47,6.56,4.37,8.74,49.18,0,8.74,5.46,0,1.09,491.78,0,0,0,0,147.53,3.28,18.58,3.28,0
108-118,0,0,0,0,262.73,0,9.96,0.77,83.49,3.06,11.49,83.49,0.77,11.49,1.53,37.53,3.83,7.66,1.53,0,106.47,7.66,3.06,3.83,40.6,0.77,4.6,3.83,0,2.3,417.45,0,0.77,0,0,169.28,1.53,14.55,0.77,0
120,0,0,0,0,182.26,1.96,5.88,0,58.79,0,3.92,27.44,0,17.64,0,29.4,0,5.88,0,0,66.63,13.72,7.84,9.8,15.68,0,3.92,5.88,0,0,241.05,0,0,0,0,43.12,1.96,7.84,0,0
