stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,422.94,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,30.65,0,0,0,12.26,18.39,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,21.03,0,0,31.54,0,0,0,0,10.51,0,0,0,0,0,0,226.07,5.26,0,0,76.23,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,12.59,9.44,0,0,22.03,0,0,0,0,6.29,0,0,0,0,0,0,160.5,0,0,0,53.5,3.15,6.29,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,5,1,5,0,0,1,0,1,1,0,0,2,0,0,33,0,0,1,0,3,0,1,0,1,11,0,0,0,0
 24-34,0,0,0,1.64,0,9.03,0.82,0,0,0,0,0,0,0,7.39,0,0.82,81.26,0.82,0.82,0,0,0.82,0,0,0,0,13.13,0,0.82,0,0
 36-46,0,0,0,1.61,0,7.25,0,0,4.03,0,0,0,0,0,6.45,0,1.61,37.06,0,0.81,0,0,0.81,0,0,0,0,13.7,0,0.81,0,0
 48-58,0,0,0,1.15,0,28.12,0,0,5.16,0,0,0,0,0,5.16,0.57,0.57,120.5,0,0,0.57,0,0,0,0,0,0,13.77,0,0,0,0
 60-70,0,0,0,3.93,0,7.85,0,0,3.93,0,0,0,0,0.98,5.89,0,0,38.28,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0.98
 72-82,0,0,0,2.94,0,14.72,0,0,0.98,0.98,0,0,0,0,5.89,0,0,59.88,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,0,0,12.74,0,0,2.12,0,0,0,1.06,0,5.31,0,1.06,27.61,0,1.06,0,0,0,0,0,0,0,3.19,1.06,1.06,0,0
 96-106,0,0,0,1.09,1.09,4.37,0,0,3.28,1.09,0,0,0,0,6.56,0,0,25.14,0,1.09,0,0,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0.77,0,0.77,0.77,0,0,0,0,0,3.83,0.77,0,22.98,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,5.88,0,0,1.96,1.96,0,0,0,0,3.92,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
