stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,9.44,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,2,62,0,0,0,0,0,0,1,0,20,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,3.28,0,1.64,0,0,0,0,0,0,0,0,2.46,0,0.82,169.1,0.82,0,0,0,0,0,0,0,68.95,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,7.25,0,7.25,0,0,0,0,0,0,0,0,4.83,0,0.81,334.35,0,2.42,0,0,0.81,0,0,0,95.07,0,0,0,0,0
 48-58,0.57,0,0,0,0.57,0,37.87,0.57,20.08,0,0.57,0,0,0,0,0.57,1.15,9.75,0,1.15,350.02,0,0.57,1.15,0,0,0,0,0,75.74,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,83.43,0,41.22,0,0.98,0,0,2.94,0,0,0,16.69,0.98,0,491.74,0,0.98,4.91,0,0.98,0,0,0,72.63,0.98,0.98,0,0,1.96
 72-82,0,0,0.98,0,3.93,0.98,74.61,0,48.1,0,0.98,0,0.98,0,0.98,0,0,25.52,0,0,448.62,0,2.94,5.89,0,1.96,0,0,0,34.36,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,0,2.12,1.06,52.04,0,21.24,1.06,1.06,0,0,1.06,0,0,0,13.81,0,0,247.45,0,0,9.56,0,0,0,0,0,22.3,7.43,1.06,0,0,0
 96-106,0,0,0,0,5.46,2.19,33.88,0,32.79,1.09,0,0,0,0,0,0,0,13.11,0,0,198.9,0,2.19,13.11,0,2.19,0,0,1.09,12.02,3.28,1.09,0,0,1.09
108-118,0,0,0,0,0.77,2.3,22.21,0,24.51,0,0,0.77,0,0,0.77,0,0,9.96,0,0.77,202.21,0,0,5.36,0,0.77,0,0,0,9.19,5.36,0,0,0,0.77
120,0,0,0,0,0,0,23.52,0,33.32,0,0,0,0,0,0,0,0,1.96,0,1.96,195.98,0,0,1.96,0,0,0,0,0,11.76,1.96,1.96,0,0,0
