stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,7,2,2,0,0,2,1,0,0,0,0,0,0,1,0,4,58,1,1,1,3,0,10,0,11,31,0,0
 24-34,0,0,0,0.82,0,15.6,0,0,5.75,0,0,0.82,0,0,0,0,8.21,0,2.46,73.06,0,0.82,0.82,0,0.82,0,0.82,0.82,18.06,0,0
 36-46,0,0,0,0,0,14.5,0,0,2.42,0,0,0,0,0,0,0,7.25,0,0,66.06,0,0.81,0.81,0,0,0,0,0,15.31,0,0
 48-58,0,0,0,0.57,0,35.58,0.57,0.57,5.74,0,0.57,0,0,0,0,1.15,14.92,0,1.72,51.64,0,1.15,1.15,0,0.57,0,0,0,13.2,0.57,0
 60-70,0,0,0,0,0,34.35,0,0,1.96,0,0,0,0,0,0,0,12.76,0,0.98,44.17,0,0,0,0,0,0,0,0,9.82,0,0
 72-82,0,0,0,1.96,0,26.5,0,0.98,7.85,0,0,0,0,0,0,0,17.67,0.98,3.93,43.19,0,1.96,1.96,0,0.98,0,0,0,2.94,0.98,0.98
 84-94,0,0,1.06,1.06,0,15.93,1.06,1.06,4.25,1.06,0,0,0,1.06,0,0,6.37,2.12,1.06,26.55,0,0,0,0,2.12,0,0,0,4.25,0,0
 96-106,0,0,0,2.19,0,12.02,0,0,3.28,1.09,1.09,0,0,0,1.09,0,13.11,1.09,0,22.95,1.09,0,2.19,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,3.06,0,7.66,0.77,0,3.06,0,0,0,0.77,0.77,0,0.77,9.19,0.77,0,21.45,0,0,0.77,0,0,0,0,0,1.53,1.53,0
120,0,0,0,1.96,0,11.76,1.96,0,3.92,0,0,0,1.96,0,0,0,11.76,0,0,35.28,0,1.96,1.96,0,1.96,0,0,0,0,0,1.96
