stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,heart,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0
 24-34,0,2.46,0,0,1.64,0,0,0,0,0,2.46,3.28,0,0,8.21,2.46,0,0,0,0
 36-46,0,2.42,1.61,4.83,1.61,0,0,0,0,0,2.42,4.03,0,0,8.86,0,1.61,0,0.81,0
 48-58,0,0,1.72,9.18,2.3,0,0,0,0,1.15,0,4.59,0,0,11.48,0,0,0,0,0
 60-70,0,1.96,0.98,5.89,0,0,0,0,0,0,2.94,3.93,0,0,4.91,0,1.96,0,0,0
 72-82,0,2.94,1.96,2.94,0,0,0,0,0,2.94,1.96,0.98,0,0,4.91,0,0.98,0.98,0.98,0
 84-94,0,2.12,1.06,3.19,2.12,0,0,0,0,0,1.06,2.12,0,0,4.25,0,0,0,1.06,0
 96-106,0,5.46,1.09,1.09,1.09,2.19,1.09,0,0,1.09,1.09,1.09,0,2.19,5.46,0,0,0,0,1.09
108-118,0,3.06,0,5.36,3.06,0,0.77,0.77,0.77,0.77,1.53,0.77,0,0,5.36,0,0,0,0,0
120,0,3.92,5.88,3.92,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
