stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,25,0,0,0,0,0,0,0,2,4,19,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,4.93,0,0,0,0,0,0,0,0,0,3.28,0,12.31,0,0,1.64,70.59,0.82,0.82,0,0,0,0,0,0,0.82,31.19,0,0,3.28,0,0
 36-46,0,0,0,0,0,0.81,0,5.64,0,1.61,3.22,0,0,1.61,0,0,0,2.42,0,15.31,0.81,0.81,3.22,202.22,0.81,3.22,0.81,0,0,0,0,0,0,95.87,0,0,2.42,0,0.81
 48-58,0,0,0,0,1.72,0,0,18.36,0,0,2.87,0,0.57,1.72,0,0,0,0.57,0,20.08,0,1.15,4.59,224.93,0,3.44,0,0,0,0,0,0,0,60.82,0,1.15,1.72,0,0
 60-70,0,0,0,0,0,0,0,41.22,0,0.98,8.83,0,0,0.98,0,0.98,0,0,0,31.41,0,1.96,3.93,297.4,0,1.96,0,0,0.98,0.98,0,0,0,50.06,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,1.96,0,0,49.08,0.98,0,5.89,0,0,3.93,0,0,1.96,0,0.98,23.56,0,3.93,1.96,229.71,0,8.83,0,0,2.94,0.98,0,0,0,28.47,0,0.98,1.96,1.96,0
 84-94,0,0,0,1.06,3.19,0,0,38.23,0,2.12,6.37,0,0,9.56,0,0,0,0,0,22.3,0,3.19,3.19,147.62,0,9.56,3.19,0,1.06,1.06,0,0,0,16.99,0,0,0,2.12,0
 96-106,0,0,0,0,2.19,1.09,1.09,22.95,0,0,9.84,0,0,8.74,0,0,3.28,1.09,1.09,5.46,0,3.28,1.09,103.82,0,7.65,1.09,0,3.28,1.09,0,0,0,6.56,1.09,2.19,1.09,2.19,1.09
108-118,0,0,0,0,4.6,0,0,21.45,0,0.77,2.3,0,0,5.36,0.77,0.77,3.06,0.77,0.77,5.36,0,2.3,0,117.19,0,4.6,1.53,0,2.3,0,0,0,0,3.83,1.53,0,0,1.53,0
120,0,0,0,0,1.96,0,0,25.48,1.96,0,9.8,1.96,0,11.76,0,0,5.88,0,0,13.72,0,0,3.92,137.18,0,3.92,0,0,0,0,0,0,0,1.96,1.96,0,0,1.96,1.96
