stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,4,0,0,0,4,0,0,0
 24-34,0.82,0.82,4.93,0,0,0.82,0,0,0.82,0,0,0,0,0,2.46,0,0.82,27.09,0,0,0,2.46,0,0,0,0.82,8.21,0,0.82,2.46
 36-46,0,0,9.67,0,0,4.83,0,0,0,0,0,0,0,0,4.83,0,0.81,49.95,0,0,0,0,0,0.81,0,0,6.45,0,0,0.81
 48-58,0.57,0.57,19.51,1.15,1.15,3.44,0,0,0,0,0,0,0,0,3.44,0.57,1.15,18.36,0,0,0,0,0,0,0.57,0,6.89,0,0.57,0.57
 60-70,0,0,81.47,0,0,12.76,0.98,0,0,0,0,0,0,0,13.74,0,4.91,106,0,0.98,0,0.98,0,0,0,0,7.85,0.98,0.98,0
 72-82,0,0.98,18.65,0,0,4.91,0,0,0,0,0,0,0,0,6.87,0,0.98,26.5,0,0,0.98,0,0,0,0,0,0,0.98,0,0
 84-94,0,2.12,19.12,0,1.06,1.06,0,0,0,1.06,0,0,0,1.06,6.37,1.06,1.06,19.12,0,0,0,1.06,0,0,0,0,1.06,2.12,0,0
 96-106,2.19,0,14.21,0,0,5.46,0,1.09,0,0,1.09,0,0,0,5.46,1.09,1.09,12.02,0,0,0,1.09,0,0,0,0,0,0,3.28,0
108-118,0.77,0,10.72,0,0,1.53,0,0,0,0.77,0,0.77,0.77,0,1.53,0,0,12.26,0.77,0,0,1.53,0,0.77,0,0,0.77,0,0,0.77
120,1.96,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,9.8,0,0,0,1.96,0,0,1.96,0,0,0,0,0
