stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,4,26,1,0,2,0,0,0,1,0,21,0,0,0,0,0,0,36,0,15,13,0,0,1,2,0,4,0,4,0,332,47,4,0,0,0,0
 24-34,0,0.82,39.4,0,0,2.46,0,0,0,0.82,0.82,13.13,0,0,0,0,1.64,0.82,12.31,0,9.03,26.27,0.82,0,0,0,0.82,1.64,0,0,6.57,203.57,2.46,9.85,0,0,0,0
 36-46,0,0,16.11,0,0,4.03,0.81,1.61,0,0.81,0,11.28,0,0,0,0,0,2.42,2.42,0,3.22,22.56,0,0.81,0,0,0,2.42,0,0,1.61,184.5,0,6.45,0,3.22,0,0
 48-58,0,0,9.18,0,0,10.33,2.3,2.3,0.57,1.72,0,6.31,0,0,0,0,0,6.89,5.16,0.57,6.31,18.36,0,0.57,0,0.57,0,1.15,0,0,0,141.73,0,2.87,0,0.57,0,0
 60-70,0,0,5.89,0,0,12.76,15.7,1.96,0,0.98,0.98,3.93,0,0,0.98,0,0,9.82,3.93,0,4.91,31.41,0,0,0,0.98,0,0.98,0,0.98,0,95.21,0,3.93,0.98,0,0,0
 72-82,0,0,4.91,0,0,15.71,14.72,0,0,1.96,0,3.93,0.98,0,0.98,0.98,0,7.85,17.67,0.98,8.83,44.17,0,1.96,0.98,0.98,0,1.96,0,0,0,52.03,0,3.93,0,0,0,1.96
 84-94,0,1.06,14.87,2.12,0,16.99,26.55,1.06,0,2.12,2.12,4.25,1.06,0,1.06,1.06,2.12,14.87,11.68,0,6.37,30.8,0,0,0,0,0,2.12,0,0,0,97.71,0,2.12,0,2.12,0,1.06
 96-106,0,0,9.84,2.19,1.09,16.39,26.23,3.28,1.09,5.46,0,7.65,2.19,2.19,1.09,1.09,1.09,12.02,12.02,0,8.74,26.23,0,2.19,1.09,1.09,0,2.19,0,0,0,106.01,0,0,0,0,0,0
108-118,0.77,0,3.06,0.77,0,18.38,28.34,2.3,0.77,3.06,0.77,6.13,0,0,0.77,0,0,11.49,8.43,0,3.83,18.38,0.77,1.53,0,0,0,3.06,0.77,0,0,77.36,0,0,0.77,3.06,0.77,0.77
120,0,0,1.96,9.8,0,3.92,15.68,0,0,5.88,0,3.92,0,0,0,5.88,1.96,3.92,7.84,1.96,3.92,13.72,0,0,1.96,0,0,1.96,0,1.96,0,33.32,0,0,0,0,0,0
