stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,18.4,0,0,44.69,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,162.98,10.51,0,0,102.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,56.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.32,12.59,0,0,100.7,0,3.15,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,10,1,4,0,6,0,0,0,0,0,0,0,0,7,0,0,2,51,0,1,0,0,0,0,14,2,10,25,0,0,1,0,0
 24-34,0,0,0,0,3.28,0,6.57,0,3.28,2.46,0,0,0,0.82,0,0.82,0,8.21,0,0,5.75,100.14,0,4.1,0.82,0,0,0,0,1.64,2.46,30.37,0,0,3.28,0,0
 36-46,0,0,0,0,0,0.81,22.56,0.81,3.22,0,0,0,0,0,0,0,0,16.92,0,0,4.03,90.23,0.81,4.03,1.61,0,0,0,0,0.81,0,24.17,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,33.85,0,9.18,0,0,0,0,0,0,1.15,0,18.36,0,1.15,4.59,58.53,0,0.57,0.57,0,0.57,0,0,0,0,18.36,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,68.71,0,7.85,0,0,0.98,0,0,0,0,0,26.5,0,0,4.91,79.5,0,1.96,1.96,0,0.98,0,0,0,0,15.7,0,0.98,1.96,0,0
 72-82,0,0,0.98,0,1.96,0,82.46,1.96,5.89,0.98,0,0,0,0,0,0,0.98,20.61,0,0,1.96,58.9,0.98,2.94,0,0,1.96,0,0,0,0,1.96,0,0,0.98,2.94,0
 84-94,0,0,0,0,1.06,1.06,101.96,0,11.68,0,0,0,1.06,0,0,0,0,21.24,1.06,1.06,2.12,35.05,0,1.06,1.06,0,0,0,0,0,0,3.19,0,0,1.06,1.06,1.06
 96-106,0,0,1.09,0,2.19,0,63.39,0,5.46,1.09,0,0,0,0,1.09,0,0,12.02,0,0,0,30.6,0,2.19,4.37,0,0,0,0,0,0,2.19,0,0,1.09,1.09,0
108-118,0,0,0,0,3.83,0,49.02,0,2.3,0,0,0,0,0,0.77,0,0,13.02,0,1.53,0.77,22.98,0,0.77,0,0,0,0,0,0.77,0,0.77,0.77,0,0,0,0
120,0,0,0,0,3.92,0,31.36,0,5.88,0,0,0,0,0,0,0,0,1.96,0,0,0,23.52,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
