stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,10,3,0,4,0,0,4,1,0,0,0,0,0,0,0,4,0,0,3,85,2,0,0,1,0,0,12,1,23,24,0,0,2,0,0
 24-34,0,0,0,0.82,8.21,0,0,12.31,3.28,1.64,4.93,0,0.82,0.82,0,0,0,0,0.82,10.67,0,0,4.93,153.5,0.82,0,0,0,0,3.28,0,0,4.93,19.7,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,3.22,0.81,1.61,10.47,0,0,0,0,0,0,0,0,15.31,0,0,5.64,71.7,0.81,0,0,0,0,1.61,0,0,0,25.78,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,0,2.3,2.3,2.87,8.61,0,0.57,0,0,0,0,0.57,0,14.92,0,0,5.16,18.36,0.57,0,0,0,0,1.15,0,0,0,8.03,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,2.94,0.98,2.94,5.89,0,0,0,0,0.98,0,0,0,15.7,0,0.98,0,4.91,0,0,0.98,0,0,0,0,0,0,4.91,0.98,0,1.96,0,0.98
 72-82,0,0,0.98,0,5.89,0,0.98,6.87,0.98,3.93,8.83,0.98,0,0,0,0,0.98,0,0,9.82,1.96,1.96,0.98,3.93,0,0,0.98,0,0,2.94,0,0,0,1.96,0,0,1.96,0.98,0
 84-94,0,0,0,0,8.5,1.06,0,9.56,5.31,2.12,4.25,0,0,1.06,0,0,1.06,0,0,6.37,1.06,0,3.19,3.19,0,0,2.12,0,0,6.37,0,0,0,2.12,0,0,6.37,0,1.06
 96-106,0,0,0,0,2.19,0,0,2.19,1.09,3.28,8.74,3.28,0,1.09,0,0,1.09,0,0,12.02,1.09,0,1.09,3.28,0,1.09,2.19,0,1.09,2.19,0,0,0,0,0,1.09,3.28,1.09,1.09
108-118,0,0,0,0,5.36,0,0,5.36,0.77,2.3,6.13,0,0,0,0.77,1.53,0,0,0,7.66,0,0,2.3,1.53,0.77,0,0.77,0,0,0.77,0,0,0,0,1.53,0,3.06,0.77,0.77
120,0,0,0,0,11.76,0,0,1.96,0,0,7.84,1.96,0,0,0,0,0,0,0,11.76,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
