stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,0,13.14,0,0,0,2.63,0,0,0,0,0,281.27,5.26,0,94.63,0,0,0,0,0,0,0
 10-12,12.59,34.62,0,3.15,40.91,0,0,0,6.29,0,0,0,0,0,371.34,3.15,0,107,0,3.15,0,9.44,0,0,0
 14-21,0,1,11,2,16,0,6,1,0,0,1,9,0,6,190,2,2,10,0,0,24,1,18,76,0
 24-34,0,0,0.82,0,9.03,0,2.46,0,0,0,0,9.03,0,4.1,66.49,0,0,0,0,0,0,0,0.82,22.98,0.82
 36-46,0,0,0,0,5.64,0,1.61,0,0,0,0,4.03,0.81,2.42,37.06,0,0,0,0,0,0,0,0,12.89,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,0,3.44,0,1.15,4.59,0,0,0,0,0,0,0,0,1.15,1.15
 60-70,0,0,0,0,2.94,0.98,0,0,0,0,0,1.96,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
