stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,1,1
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0,14.78,0,0,0,0,2.46,0,0,4.1,0
 36-46,0,0,0.81,0,0,0,0,0,0,1.61,0,12.89,0.81,0,0,0,27.39,0,0.81,4.83,0
 48-58,0,0,0.57,0,0.57,0,0,0,0,1.15,0,8.03,0,0.57,0,0,9.75,0,0,0.57,0
 60-70,0,0.98,1.96,0,0,0,0,0,0,0,0,6.87,0,0,0,0,6.87,0,0,0,0
 72-82,0,0,3.93,0,0,0.98,0,0,0,0,0,14.72,0,0,0.98,0,10.8,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,3.19,0,1.06,0,0,1.06,0,0,1.06,0
 96-106,0,3.28,3.28,0,0,0,0,0,0,0,0,2.19,0,0,0,0,21.86,0,0,0,0
108-118,0,0.77,2.3,1.53,0,0.77,0.77,1.53,0.77,0,0,8.43,0,0,0.77,0,16.85,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,9.8,0,0,0,0
