stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,2.63,0,0,0,10.51,7.89,34.17,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,18.88,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,2,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,2.12,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,6.13,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0
