stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,474.41,9119.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935.63,0,0,0,0,0,0,0,0,0,0,0
  5-6,257.44,2703.17,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,6.13,588.44,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,10.51,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,233.96,23.66,0,0,63.09,105.15,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,34.62,0,0,0,12.59,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,981.85,6.29,0,0,135.32,37.76,0,3.15,9.44,0,0,0,0,0,0,0,0
 14-21,1,0,2,27,1487,8,0,4,0,9,0,1,27,8,1,0,105,0,4,0,0,7,24,0,6,80,2,18,95,1,689,0,226,32,16,151,19,0,0,1,0,0
 24-34,0.82,0,5.75,22.16,972.71,0.82,0,14.78,0,57.46,0,2.46,12.31,2.46,1.64,0.82,133.8,0,46.79,3.28,0.82,11.49,65.67,0,13.13,188.8,2.46,104.25,59.1,0,1039.2,0,0,24.63,0,31.19,26.27,0,0,5.75,0,0
 36-46,0,0,1.61,3.22,364.16,0,0,16.11,0,69.29,0,6.45,4.03,4.03,0.81,0,49.95,0,41.09,1.61,0,8.86,38.67,0,2.42,145.02,0.81,91.85,38.67,0.81,1015.95,0,0,13.7,0,0,12.09,0,0,4.03,0,0.81
 48-58,0,0,1.15,2.87,228.37,0,0,21.8,0,80.91,1.72,4.02,2.3,17.21,1.72,0.57,21.8,0,31.56,0,0,19.51,33.85,1.15,4.02,103.28,0.57,65.99,36.72,0,884.81,0,0,6.31,0,0,8.03,0,0,3.44,0,1.72
 60-70,0,0,1.96,0,262.07,0,0,20.61,0,66.74,1.96,5.89,29.45,10.8,0,2.94,30.43,0,45.15,2.94,0,26.5,20.61,0.98,0.98,100.12,0.98,53,34.35,0,757.73,0,0,4.91,0,0,5.89,4.91,0,7.85,0.98,0
 72-82,0,0,10.8,0.98,367.14,2.94,0,33.38,0,84.42,0.98,14.72,82.46,4.91,0.98,2.94,79.51,0.98,68.72,1.96,0,103.07,63.81,1.96,4.91,157.07,1.96,99.15,58.9,0,831.47,0,0,5.89,0,0,11.78,33.38,0.98,12.76,1.96,0
 84-94,0,0,18.05,3.19,695.63,0,0,25.49,0,162.49,1.06,8.5,181.61,8.5,1.06,3.19,123.2,1.06,86.03,5.31,0,61.6,57.35,2.12,1.06,69.03,4.25,135.94,64.78,0,2365.16,0,0,21.24,0,0,7.43,144.44,1.06,12.74,0,2.12
 96-106,1.09,0,14.21,4.37,848.05,3.28,2.19,37.16,0,195.62,2.19,14.21,212.01,0,2.19,7.65,158.46,1.09,134.42,6.56,0,78.68,66.66,0,0,115.84,3.28,197.81,107.1,0,2080.78,0,0,6.56,1.09,0,4.37,181.41,0,20.76,2.19,2.19
108-118,0.77,0,9.19,6.89,769.03,3.06,4.6,24.51,0,266.56,3.83,20.68,168.51,0,1.53,11.49,159.32,0.77,94.21,6.89,0,61.28,66.64,0.77,4.6,107.23,5.36,126.38,100.34,0,1790.06,0,0,16.85,0,0,6.13,170.04,0,17.62,1.53,1.53
120,0,0,1.96,3.92,472.31,1.96,1.96,27.44,1.96,137.18,0,9.8,101.91,0,3.92,5.88,58.79,0,45.08,3.92,0,50.95,39.2,3.92,11.76,94.07,1.96,56.83,62.71,0,970.09,0,0,7.84,0,0,3.92,56.83,3.92,15.68,1.96,0
