stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,2,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,2.46,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,2.42,0,0,0,0,1.61,0,0.81,0
 48-58,0,0,0,1.15,0,0.57,1.15,0,0,0,2.3,0,0,3.44,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0.98,0,0.98,0,0,1.96,0,0.98,0,0.98,0.98,0,0,0
 72-82,0,0,0,3.93,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,3.19,0,0,1.06,0,0,0,4.25,1.06,1.06,1.06,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,4.37,1.09,0,0,0,0,1.09,0,0
108-118,0,0.77,0,3.06,0,0,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,5.88,0,0,1.96,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0
