stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,92,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,99.89,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,14,0,4
 24-34,0,0,0,0,0.82,0,0,5.75,0,0,0,0.82,0,0,0,0,0,1.64,0,0,22.16,0,0,0,0.82,22.98,0,6.57,4.1,0,2.46,0,3.28,0,0,27.91,0,11.49
 36-46,0,0,0,0,1.61,0,0,4.83,0,0,0,0,0,0,0,0,0,2.42,0.81,0,78.15,0.81,0,0,0,37.06,0,1.61,4.03,0,1.61,0,19.34,0,0,12.89,0,22.56
 48-58,0,0,0,0,0.57,0,0,22.38,0,0,2.3,0.57,0,0,0,0,0.57,6.31,0.57,0,67.71,3.44,0,0,0,48.77,0,4.02,4.59,0,1.15,0,10.9,0,0,10.33,0,13.77
 60-70,0,0,0,0,0.98,0,0,118.76,0,1.96,0,2.94,0,0,0,0,0,21.59,5.89,0,39.26,5.89,0,0,0,75.58,0,7.85,8.83,0,0.98,0,19.63,0,0,6.87,0,21.59
 72-82,0,0,0,0,6.87,1.96,0,406.41,1.96,0,5.89,18.65,0.98,0,0.98,1.96,0,23.56,9.82,0,38.28,28.47,0,0,0.98,121.73,0,14.72,24.54,0,1.96,0.98,12.76,0,0,13.74,0,15.71
 84-94,0,0,0,0,2.12,2.12,0,360.03,0,0,5.31,13.81,0,0,0,5.31,1.06,15.93,8.5,0,61.6,19.12,1.06,0,0,67.97,0,7.43,38.23,0,2.12,2.12,4.25,2.12,1.06,19.12,0,20.18
 96-106,0,0,0,0,10.93,2.19,0,440.42,0,0,1.09,19.67,0,0,0,13.11,0,18.58,26.23,1.09,46.99,28.41,0,0,2.19,78.68,0,8.74,49.18,0,5.46,4.37,7.65,0,0,24.04,0,15.3
108-118,0,0,0.77,0,3.06,2.3,0.77,346.22,0,0.77,5.36,19.92,4.6,0,0,9.19,0,35.23,15.32,0,62.04,13.02,0,0,1.53,90.38,0,13.02,32.94,0,3.06,6.89,6.89,0,0,12.26,0.77,19.92
120,0,0,1.96,0,3.92,0,0,272.41,0,0,0,27.44,1.96,0,0,9.8,0,13.72,7.84,1.96,27.44,21.56,0,3.92,0,72.51,1.96,13.72,35.28,0,0,11.76,7.84,0,0,13.72,0,5.88
