stage,axial,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,7,5,0,0,1,0,172,0,0,0,0,0,0,0,17,0,1,0,12,4,7,16,7,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,29.55,0,0,0,0,0.82,0,0.82,9.03,3.28,0,0,36.12,0,0.82,5.75,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0.81,2.42,1.61,0,0,4.03,8.86,0,0,13.7,0,0,0,4.83,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,5.74,1.15,0,1.72,7.46,22.38,0,0.57,3.44,0,0,0,6.31,0.57,0,0
 60-70,0,0.98,0,4.91,0,0,0,0,0,0,0,5.89,0,0,0,9.82,12.76,0,0,2.94,0,0,0,2.94,0,0,0.98
 72-82,0,0,0,21.6,0,0,0,0,0,0.98,0,30.43,2.94,0,1.96,4.91,19.63,1.96,0,2.94,0,0,0,1.96,0,0,0
 84-94,1.06,1.06,0,13.81,0,0,1.06,0,0,1.06,1.06,19.12,1.06,0,1.06,0,16.99,0,0,3.19,0,0,0,1.06,0,0,1.06
 96-106,0,2.19,1.09,8.74,0,0,0,0,0,0,0,21.86,0,0,0,5.46,17.49,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,8.43,0.77,0.77,0,0,0.77,0,0,15.32,0.77,0,0,2.3,16.85,0.77,0,3.83,0,0,0,0,1.53,0,1.53
120,3.92,0,0,9.8,0,0,0,0,0,0,0,19.6,0,1.96,0,3.92,15.68,1.96,0,3.92,0,0,0,0,1.96,1.96,1.96
