stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,39.53,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,42.91,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,2.63,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,223.44,5.26,0,0,23.66,52.57,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,6.29,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,207.7,0,0,0,9.44,22.03,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,9,64,1,0,1,1,0,1,15,2,0,4,0,0,0,3,0,0,0,0,0,1,11,1,56,0,1,0,0,1,2,0,0,0
 24-34,0,0,0.82,4.93,18.06,0,0,1.64,1.64,0,0,1.64,0,0,16.42,0,5.75,0.82,1.64,3.28,0,0.82,19.7,0.82,0.82,14.78,0,171.56,0,0,0,0,0,2.46,0,0.82,0
 36-46,0,0,0,0,11.28,0.81,0,2.42,4.03,0,0.81,0.81,0,0,3.22,0,4.03,0,0,1.61,0,0,20.14,0.81,0.81,10.47,0,140.99,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,2.3,0,0,4.59,1.72,0,0.57,0,0,0,3.44,0,2.3,0.57,1.72,1.72,0,0,12.62,0,2.3,6.89,0,91.81,0,0,1.15,0,0,2.3,0,0,0
 60-70,0,0,0,0,8.83,0,0,2.94,3.93,0,0,0.98,0,0,6.87,0,2.94,0,0,1.96,0,0,9.82,0,1.96,8.83,0,89.32,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,20.61,0,0,4.91,6.87,0,0.98,3.93,1.96,0,8.83,0,8.83,0,5.89,1.96,0,0,9.82,0,1.96,18.65,0,92.28,0,0,0,0.98,0,0.98,0.98,0,0
 84-94,0,0,0,0,16.99,0,0,0,2.12,0,0,9.56,1.06,1.06,8.5,1.06,7.43,0,4.25,4.25,0,1.06,4.25,0,2.12,15.93,0,236.83,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,48.09,1.09,1.09,4.37,6.56,0,2.19,24.04,0,3.28,24.04,0,12.02,2.19,3.28,1.09,1.09,0,6.56,0,3.28,26.23,0,250.26,0,0,0,0,0,0,3.28,0,0
108-118,0,0,0.77,0,37.53,0.77,0,1.53,7.66,0.77,2.3,9.96,0,2.3,20.68,0,6.89,0.77,5.36,7.66,0.77,0.77,6.13,0,5.36,21.45,0,193.79,0,0,0,0,0,0,6.89,0,0
120,0,0,0,0,31.36,0,0,1.96,5.88,0,1.96,13.72,0,3.92,11.76,0,1.96,0,5.88,9.8,0,0,9.8,0,7.84,13.72,0,139.14,0,0,0,0,0,0,3.92,0,0
