stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,760.07,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,49.04,0,0,0,18.39,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,10.51,0,0,18.4,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,202.41,5.26,0,0,65.72,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,220.29,0,0,0,53.5,0,0,12.59,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,13,0,0,0,3,0,0,0,0,1,0,0,4,5,1,126,0,0,0,0,0,0,6,2,1,5,2,46,0,0,0,0,12
 24-34,0,0,0,0.82,4.1,2.46,13.13,0,0,0,0.82,0,0,0.82,0,0,0,0,0,4.1,0,62.39,1.64,0,1.64,0,0,0,0,0,0,3.28,0,22.98,0,0,0,0,3.28
 36-46,0,0,0,0,3.22,0.81,4.83,0,0,0,2.42,0,0,0,0,0,0.81,0,0,3.22,0.81,47.53,0,0.81,0,0,0,0,0.81,0,0,0.81,0,21.75,0,0,1.61,0,0
 48-58,0,0,0.57,0,1.15,0,17.21,0.57,0,0,13.2,0,0,0,0,1.15,4.02,0.57,0,1.72,0,30.41,0,0,1.15,0,0,0,0,0,0,0,0,15.49,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,19.63,3.93,0,0.98,17.67,0,0,0,0,2.94,10.8,0,0,8.83,0.98,30.43,0,0,0,0,0,0.98,0,0,0,0,0,4.91,0,0,0.98,0.98,0
 72-82,0,0,0,0,0.98,0,16.69,12.76,0.98,0.98,24.54,0,0,0,0,0,12.76,0,0,21.6,0.98,42.21,0,0.98,0.98,0,0,0,0,0,0,0,0,3.93,0.98,0.98,1.96,0,0.98
 84-94,0,0,0,0,2.12,1.06,37.17,25.49,0,0,12.74,2.12,0,0,0,0,16.99,0,0,13.81,1.06,24.43,0,1.06,0,0,0,1.06,0,0,2.12,0,0,3.19,1.06,0,0,3.19,0
 96-106,0,0,1.09,0,4.37,1.09,14.21,44.81,3.28,0,20.76,0,0,0,1.09,1.09,15.3,2.19,0,9.84,4.37,28.41,0,0,1.09,0,0,1.09,2.19,0,1.09,0,0,0,5.46,1.09,1.09,9.84,0
108-118,0,0,0,0,2.3,0,19.15,32.94,1.53,0.77,19.92,0,0,0.77,0,0,9.96,0,0,9.19,2.3,38.3,0,0,0,0,0.77,0,2.3,0,0.77,0,0,3.06,2.3,0,1.53,5.36,0
120,0,0,0,0,3.92,0,17.64,19.6,3.92,0,3.92,0,0,0,0,0,1.96,0,0,5.88,0,31.36,0,1.96,1.96,0,0,0,1.96,0,0,0,0,1.96,3.92,0,0,5.88,0
