stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,heart,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,8,0,1,1,0,2,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0,0.82,0,0,0,0,3.28,0.82,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0.81,0,0,1.61,0,0
 48-58,0,0,0.57,0.57,0,0,1.72,0,0,0,0,1.72,0,0,0,0.57,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0,1.96,0,0,3.93,0,0,2.94,0,3.93,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,0,0,4.25,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0,0,2.3,0.77,0,3.06,0,0.77,1.53,0,2.3,0,0,0,0,1.53,0,0
120,0,0,0,0,0,0,5.88,1.96,0,3.92,0,0,1.96,0,0,0,0,0,0
