stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,1,5,0,0,0,0
 24-34,0,0,3.28,0,0.82,0.82,0,0,0,0,0,0,1.64,0,0,24.63,2.46,0,0,0,0,8.21,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0.81,0,0,1.61,0,0,54.79,0.81,0,0,0,0,14.5,0,0,0,0
 48-58,0,0,0.57,0.57,2.87,0,0,2.3,0,0,0,0,1.15,0,0.57,65.41,0.57,0.57,0,0,0,13.77,0,0.57,0,0.57
 60-70,0,0,0,0.98,8.83,0,0,4.91,0,0,0,0,1.96,0,0,103.06,1.96,0,0,0.98,0,20.61,0,0,0,0
 72-82,0,0,0,0.98,21.6,0,0,5.89,0,0.98,0,0.98,5.89,0,0,133.51,0.98,0.98,0,0,0,13.74,0,0.98,0,0.98
 84-94,0,0,0,0,18.05,0,0,4.25,0,0,0,0,2.12,0,0,76.47,1.06,0,0,1.06,0,10.62,0,1.06,0,0
 96-106,0,0,2.19,1.09,19.67,0,1.09,1.09,0,0,1.09,0,6.56,0,0,97.26,2.19,1.09,0,2.19,0,3.28,0,1.09,0,0
108-118,0,0,0.77,2.3,14.55,0,0,3.06,0.77,0,0,0,2.3,0,0,107.23,2.3,0,0,0,0.77,3.83,0,0,0.77,0
120,0,0,0,3.92,21.56,0,0,5.88,0,0,1.96,0,5.88,1.96,0,103.87,1.96,1.96,0,1.96,0,9.8,1.96,0,0,0
