stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,141,2,11,0,0,0,0,0,0,1,124,0,0,0,0,0
 24-34,0,4.1,5.75,0,0,14.78,0,0,0,6.57,0,0.82,0,0,0.82,0,0,0.82,0.82,8.21,0,0,2.46,989.13,3.28,41.86,4.1,0,6.57,0,0,0,0,360.36,0,0,1.64,0,0
 36-46,0,3.22,4.83,0,0,73.32,0,0,0,7.25,0.81,0,1.61,0,1.61,0,0,0,0.81,7.25,0,0,5.64,2348.53,0,37.87,4.83,0,2.42,0,0.81,0,0,516.43,0,0,0.81,0,0
 48-58,0,2.3,9.75,0.57,0,455.6,0,1.15,1.72,37.87,0.57,0.57,0,0.57,0.57,0.57,2.87,1.15,1.72,48.77,0,1.15,6.89,3322.33,2.3,26.97,6.31,0,6.31,0,0,0.57,0,556.59,0,0.57,2.3,0,5.74
 60-70,0,2.94,8.83,0,0,1210.22,0.98,5.89,0,39.26,0,0,0.98,1.96,0,0,6.87,0,0.98,49.08,0,1.96,5.89,4290.23,0,21.59,14.72,0.98,6.87,0,0,0,0,508.43,0,0,3.93,0,5.89
 72-82,0,7.85,45.16,13.74,0.98,2028.11,1.96,1.96,8.83,115.84,7.85,0.98,0.98,4.91,1.96,3.93,13.74,0.98,0.98,112.89,0.98,5.89,8.83,4130.83,0.98,40.25,30.43,0,14.72,0,0,0.98,0,317.08,2.94,1.96,8.83,2.94,8.83
 84-94,0,9.56,56.29,10.62,1.06,1510.22,1.06,3.19,2.12,95.58,5.31,0,1.06,4.25,1.06,1.06,8.5,3.19,2.12,83.9,1.06,4.25,5.31,2188.86,2.12,18.05,37.17,0,25.49,0,0,0,0,167.8,2.12,2.12,11.68,1.06,3.19
 96-106,0,8.74,40.44,14.21,2.19,1123.45,4.37,2.19,1.09,92.89,14.21,0,1.09,7.65,1.09,5.46,19.67,4.37,1.09,63.39,0,3.28,8.74,1799.92,0,40.44,46.99,3.28,22.95,1.09,3.28,0,0,96.17,5.46,1.09,7.65,1.09,3.28
108-118,0,7.66,29.11,9.96,0,850.22,1.53,0.77,1.53,68.94,6.89,0,1.53,4.6,1.53,1.53,10.72,3.06,0,45.96,0.77,2.3,4.6,2222.82,2.3,26.81,29.87,0.77,13.79,0,1.53,0,0,59.75,4.6,0.77,4.6,1.53,1.53
120,0,7.84,54.87,13.72,1.96,860.35,1.96,7.84,3.92,66.63,13.72,0,0,5.88,1.96,1.96,15.68,3.92,0,48.99,1.96,0,11.76,2847.57,3.92,29.4,25.48,0,19.6,0,3.92,0,0,92.11,1.96,5.88,11.76,3.92,1.96
