stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,3.15,0,0,0,0,0
 14-21,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,1,0,0,8,2,1,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0.82,0,0,0.82,7.39,2.46,0.82,0,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,1.61,0,0,0,0,0.81,0.81,0,0,0,0,0,7.25,0,1.61,0.81,0,0.81,3.22,2.42,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,1.15,0,0,0,0,0,1.72,0,0.57,0,0,0.57,5.74,0,2.87,0.57,0,1.72,1.72,4.59,0,0,0
 60-70,0,0,0,0.98,0.98,0.98,1.96,0,0,3.93,0,0,0,0,0,0.98,0,0,0,0,0,5.89,0,1.96,0.98,0,0,0,3.93,0,0,0
 72-82,0,0,0,0.98,17.67,0,0,0.98,0,6.87,0,0,0.98,0,0,2.94,0,3.93,0.98,0,0,4.91,0,4.91,7.85,0,0,1.96,2.94,0,0.98,0
 84-94,0,0,0,0,8.5,0,4.25,0,0,4.25,1.06,0,0,0,0,4.25,0,0,0,0,0,2.12,0,1.06,11.68,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,0,24.04,0,1.09,0,0,4.37,0,0,1.09,1.09,1.09,12.02,0,6.56,1.09,0,0,5.46,0,5.46,15.3,0,0,2.19,4.37,2.19,2.19,0
108-118,0,0,0,1.53,14.55,0,6.13,0,0,3.83,0.77,0,0,0.77,0.77,5.36,0.77,5.36,0,0.77,0,3.83,0,6.13,13.79,0,0,1.53,0,1.53,0.77,0.77
120,0,0,0,1.96,3.92,0,3.92,0,0,3.92,1.96,0,0,0,0,11.76,0,1.96,0,0,0,0,0,1.96,19.6,0,0,3.92,0,0,0,0
