stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,liver,mesenchyme,muscle,neural,periderm,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0
 24-34,0,0,0,1.64,0,0.82,0,0,2.46,0.82,13.13,0,0.82,5.75,0
 36-46,0,0.81,0,0.81,0,0.81,0,0,0,0,7.25,0,0.81,0.81,0
 48-58,0,0.57,0,1.72,0,0,0.57,0,1.15,0.57,4.02,0,0,0.57,0
 60-70,0,0.98,0,4.91,0,0,0,0,0.98,0,17.67,0,0,0.98,0
 72-82,0,2.94,0,6.87,0,1.96,0,0.98,1.96,1.96,30.43,0,0,1.96,0
 84-94,0,0,0,5.31,0,1.06,0,0,4.25,0,5.31,0,0,1.06,1.06
 96-106,0,2.19,1.09,1.09,0,0,0,0,0,0,6.56,1.09,0,1.09,0
108-118,0,0,0,2.3,0.77,0,0,0,0.77,0.77,3.83,0.77,0,0,0
120,0,1.96,0,3.92,0,0,0,0,0,5.88,1.96,0,0,0,0
