stage,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,mucous,muscle,neural,periderm,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,12.26,0
  7-9,0,2.63,0,0,0,0,0,0,0,5.26,2.63,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,6.29,0
 14-21,0,0,0,0,0,0,0,0,0,1,5,0
 24-34,0,0,0,0.82,0,0,0,0,0,4.1,8.21,0.82
 36-46,0,0,0,1.61,0.81,0,0,0,0,5.64,8.06,0
 48-58,0,0,0,1.72,0,0,1.72,0,0.57,3.44,2.87,0.57
 60-70,0,0,0,6.87,0,1.96,0.98,0.98,0,3.93,12.76,0.98
 72-82,0,0,0,5.89,0,0.98,1.96,0,0,3.93,5.89,0
 84-94,0,0,1.06,0,0,2.12,0,0,0,2.12,21.24,0
 96-106,0,0,1.09,0,0,0,0,0,0,3.28,16.39,0
108-118,0,0,2.3,3.06,0,0,0,0,0,0,14.55,0
120,0,0,1.96,1.96,0,7.84,0,0,0,0,15.68,0
