stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,18,22,0,4,0,0,0,8,2,22,0,0,0,0,0,0,43,0,0,51,88,4,0,1,14,0,7,0,1230,457,3195,55,0,2,0,0
 24-34,0.82,0,4.93,1.64,0,21.34,217.53,0.82,0.82,9.85,0.82,12.31,0,0.82,0,1.64,0,1.64,41.86,1.64,0,70.59,197.83,0,0.82,0.82,0.82,0,5.75,0,5.75,193.72,782.28,55,0,4.1,0,0.82
 36-46,0,0,1.61,0.81,0,49.15,274.73,0,8.06,3.22,0,5.64,0.81,0,0,0,0.81,2.42,44.31,0,0.81,72.51,149.85,0,0.81,0.81,0,0,4.03,0,0,87.01,33.84,53.98,0,6.45,0,0
 48-58,0,0,0.57,0,0,41.31,179.6,0,1.72,11.48,0,2.87,0,0,0,0,0,1.72,43.04,0,0.57,106.15,88.37,0,1.15,0.57,0,0,1.15,0.57,0,43.61,0.57,20.66,2.3,4.59,0,1.72
 60-70,0,0,0,0,0,34.35,96.19,0,1.96,8.83,0,3.93,0.98,0,0,0,0,0,54.97,0,1.96,89.32,46.13,0,0,0.98,0.98,0.98,0,0,0.98,25.52,0,9.82,0.98,2.94,0.98,0.98
 72-82,0,0,1.96,1.96,0,20.61,66.75,0,1.96,14.72,0,1.96,0.98,0,0,0,0,0,60.86,0.98,1.96,84.42,33.38,0,0,1.96,0,0,1.96,0,0,18.65,0,1.96,0.98,4.91,1.96,1.96
 84-94,0,0,1.06,0,0,18.05,56.29,0,3.19,8.5,1.06,2.12,0,0,1.06,0,0,2.12,32.92,0,2.12,78.59,24.43,0,0,3.19,0,2.12,2.12,0,0,19.12,0,1.06,0,2.12,0,0
 96-106,0,0,4.37,2.19,0,17.49,64.48,0,2.19,6.56,0,7.65,1.09,0,1.09,0,1.09,1.09,24.04,0,1.09,76.5,28.41,0,0,1.09,1.09,0,1.09,0,0,24.04,0,1.09,2.19,1.09,0,1.09
108-118,0,0,2.3,1.53,0.77,8.43,45.19,0.77,1.53,8.43,0,5.36,0.77,0,0,0,0,0.77,23.74,0,1.53,66.64,20.68,1.53,0,0.77,0,0.77,2.3,0,0,16.85,0,0.77,0.77,3.06,0,1.53
120,0,0,3.92,0,0,15.68,43.12,0,0,9.8,0,0,0,0,0,0,0,0,21.56,0,1.96,109.75,15.68,0,0,0,0,0,0,0,1.96,11.76,0,0,1.96,3.92,0,0
