stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,4.93,0.82,0,6.57,0,0,0,0,0,0,0,0,0,1.64,0,0,4.1,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0.81,0,0,15.31,0,0,0,1.61,0,0,0,0,0,7.25,0,0,13.7,0,0,0,0.81,0.81,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,12.62,0,0,0.57,1.72,0,1.15,0,0,0,17.21,0,1.72,10.9,0,0,0,0.57,0,0,1.15,0,0,0,0
 60-70,0,0,0.98,0,0,8.83,0,0,0,21.59,0,0.98,0,0.98,0,48.09,0,0.98,16.69,0.98,0,0,0,0,0,1.96,0,7.85,0.98,0
 72-82,0.98,0,0.98,0,0,7.85,0.98,0,0.98,59.88,0,3.93,0,0,0,77.55,1.96,5.89,26.5,1.96,1.96,0,0,0,0,0,0,10.8,1.96,3.93
 84-94,0,0,4.25,0,0,4.25,0,0,0,43.54,0,4.25,0,0,0,39.3,2.12,1.06,13.81,0,8.5,0,0,1.06,0,0,0,12.74,1.06,4.25
 96-106,0,0,2.19,1.09,0,10.93,0,1.09,2.19,63.39,1.09,5.46,0,1.09,1.09,43.71,5.46,0,27.32,1.09,6.56,0,1.09,0,0,0,0,5.46,2.19,3.28
108-118,0,0,0,0,0.77,9.19,0,0,0.77,36.77,0.77,3.06,0,0,0.77,43.66,0.77,0,20.68,0,9.19,0.77,1.53,0.77,0,1.53,0,3.83,2.3,3.83
120,0,0,1.96,1.96,0,3.92,0,0,0,33.32,0,1.96,1.96,1.96,0,52.91,1.96,0,31.36,0,5.88,0,0,0,0,0,1.96,1.96,1.96,5.88
