stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1,7,26,4,0,36,0,0,0,4,0,2,0,0,0,0,0,0,14,0,23,203,7,0,3,6,0,10,51,4,5,64,65,0,0,0
 24-34,0,0.82,8.21,0,0,32.83,0,0.82,1.64,4.1,0.82,0,0,0.82,0,0,0,0,15.6,0,9.85,197.01,2.46,0,2.46,0,0,2.46,0,1.64,1.64,9.03,38.58,0,3.28,0
 36-46,0,0.81,0.81,0,0,12.09,0,0,0.81,8.86,0,0,0,0,0.81,0,0,0,16.92,0,4.03,90.23,0,1.61,0.81,0,0,0,0,0,1.61,0,29,0,0.81,0
 48-58,0,0,1.72,0,0,17.79,0,0,0.57,5.74,1.72,0,0,0,0.57,0,0.57,0,19.51,0.57,4.02,70.58,0.57,1.72,1.15,0,0,1.72,0,0,0,0,22.95,0,0.57,0
 60-70,0,0,0.98,0,0,32.39,0.98,0,0,10.8,0.98,0,0,0,0,0,0,0,18.65,0,1.96,64.78,0,0,0.98,0,0,0,0,0,0,0,10.8,0,1.96,0
 72-82,0,0,3.93,0.98,0.98,27.49,0,0,0.98,8.83,0.98,0,0,0,0,0,0,0,21.6,1.96,7.85,68.72,0.98,1.96,0.98,0,0.98,0,0,0.98,0,0,8.83,0.98,0.98,0
 84-94,0,0,2.12,0,1.06,16.99,0,1.06,1.06,7.43,3.19,0,0,0,1.06,2.12,0,0,18.05,0,2.12,27.61,2.12,0,1.06,0,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,0,14.21,0,0,0,9.84,2.19,0,1.09,0,3.28,0,1.09,0,16.39,0,3.28,30.6,0,1.09,1.09,0,1.09,4.37,0,0,0,0,0,0,2.19,0
108-118,0,0.77,3.06,0,1.53,6.89,0,0.77,0.77,9.19,3.06,0,0,0,0.77,0.77,0,0.77,4.6,0,3.83,34.47,0,0,0.77,0,0.77,0.77,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,1.96,7.84,0,0,0,3.92,1.96,0,3.92,0,0,0,0,0,9.8,0,1.96,35.28,1.96,0,1.96,0,1.96,3.92,0,0,0,0,0,0,0,0
