stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,1,2,1,1,0,0,0,0,0,0,0,1,0,0,28,3,0,0,0,0,1,2,29,0,0,0
 24-34,0,0.82,0,1.64,0,1.64,0,0,0,0.82,0,19.7,0,0,53.36,3.28,0,0,0,0.82,0,1.64,45.15,0,0,0
 36-46,0,0,0,1.61,0,2.42,0,0,0.81,0,0,37.06,0,0.81,43.51,0,0,0,0,0,0,0,40.28,0,0,0
 48-58,0,0,0,5.16,0,4.59,0,0,0,0,0,119.93,0,0.57,28.69,0,0,0,0,0,0,0,17.21,0,0.57,0
 60-70,0,0,0,3.93,0,1.96,3.93,0,0,0,0,167.84,0,0.98,15.7,0,0,0,0,0,0,0,8.83,0,0,0
 72-82,0,0,0.98,14.72,0,6.87,8.83,0,0,0,0,175.72,0,0,12.76,0,0,0.98,0,0,0,0,2.94,0,0,0.98
 84-94,0,0,0,8.5,1.06,0,15.93,1.06,0,0,0,126.38,0,0,3.19,0,0,0,0,0,0,0,1.06,2.12,0,0
 96-106,0,1.09,0,8.74,0,4.37,10.93,0,0,0,0,71.04,1.09,0,5.46,0,0,0,0,0,0,0,1.09,2.19,0,0
108-118,0,1.53,0,0.77,0,0.77,8.43,0,0,0,0.77,58.21,0,0,6.13,0,0,0,0.77,0,0,0,2.3,0.77,0,0
120,0,0,1.96,1.96,0,0,1.96,0,0,0,1.96,29.4,0,0,3.92,0,1.96,0,0,0,0,0,1.96,0,0,0
