stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,2.63,0,0,0,0,0,0,0,26.29,0,15.77,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,25.18,0,34.62,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,2,0,0
 24-34,0,0,0,1.64,0,0,0,0.82,0,2.46,0,0.82,4.93,2.46,0,0,0,0,0.82,3.28,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,2.42,0,3.22,6.45,0.81,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0.57,0,0,14.92,0,0.57,4.59,0,0,0,0,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,0,1.96,0,27.48,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,5.89,0,0,0,0.98,53.99,0,0.98,5.89,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,3.19,0,0,2.12,0,71.16,0,0,3.19,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,4.37,0,0,1.09,0,53.55,0,1.09,3.28,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,4.6,0.77,0.77,1.53,0,46.72,0,0,3.06,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,72.51,0,0,9.8,0,0,0,0,0,0,0,0,0
