stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,12.59,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,34,3,0,4,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,1,47,2,0,175,0,1,11,0,0,0,0,0
 24-34,0,0,13.95,0,0,10.67,0,4.1,0,0,0,1.64,0,0,3.28,12.31,0,0.82,2.46,0,0,0.82,124.77,0.82,0.82,2.46,0,0,23.8,0,0,1.64,0,1.64
 36-46,0,0,7.25,0,0,12.09,0,2.42,0,2.42,0,0,0.81,0,1.61,8.06,0,0,6.45,0,0,2.42,313.41,0,0,2.42,0,0,30.62,0,0,0.81,0,4.03
 48-58,0,0,12.62,0,0,36.72,0,3.44,2.3,5.16,0.57,0,0.57,0,1.72,5.16,0,1.15,14.35,1.15,0,4.02,406.83,0,1.15,0,1.15,0,40.74,0,0,2.87,0,0.57
 60-70,0,0,23.56,0.98,0,69.69,0,1.96,2.94,11.78,0.98,0,6.87,0,3.93,3.93,0,0,16.69,0,0,5.89,510.39,0,0.98,0,1.96,0,47.11,0.98,0,0.98,0,0.98
 72-82,0,0,17.67,1.96,0,138.41,1.96,2.94,3.93,16.69,0.98,0,3.93,0,6.87,3.93,0,0,53.01,0,2.94,5.89,535.01,0.98,1.96,4.91,0,0,31.41,1.96,0.98,3.93,0,1.96
 84-94,0,0,35.05,0,0,84.96,0,8.5,0,22.3,2.12,1.06,8.5,2.12,13.81,0,2.12,0,43.54,0,3.19,4.25,259.14,1.06,2.12,1.06,5.31,2.12,18.05,2.12,1.06,1.06,0,1.06
 96-106,0,0,30.6,0,2.19,121.31,0,3.28,2.19,16.39,4.37,0,9.84,2.19,13.11,1.09,2.19,0,48.09,0,2.19,8.74,238.24,0,2.19,4.37,4.37,1.09,10.93,0,1.09,5.46,3.28,0
108-118,0,0.77,39.83,0,2.3,63.57,0,8.43,2.3,15.32,2.3,0,11.49,4.6,25.28,0.77,0.77,0,36,0.77,0.77,3.83,238.21,1.53,0,3.06,0,0,6.89,2.3,0,3.06,0,0.77
120,0,0,31.36,1.96,1.96,64.67,0,5.88,0,23.52,0,3.92,11.76,3.92,7.84,0,7.84,0,23.52,1.96,1.96,1.96,207.74,3.92,0,0,1.96,1.96,9.8,3.92,0,3.92,1.96,0
