stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,6,0,2,2,6,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,22.98,0,0,0.82,0,0.82,8.21,0,0,3.28,1.64,0,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,3.22,0,0,0,0,4.03,4.83,0,0,3.22,0.81,0,0
 48-58,0,0,0.57,0,1.15,0,0,0,2.87,0.57,1.15,0,0.57,0,4.02,8.61,0,0.57,1.15,0.57,0,0
 60-70,0,0,0,0.98,0,0.98,0,0,12.76,0,8.83,0,0.98,0,1.96,17.67,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0.98,0,20.61,0,16.69,0,4.91,0,3.93,48.1,0,0,0.98,0.98,0,0.98
 84-94,0,0,1.06,1.06,0,0,0,0,39.3,0,9.56,0,2.12,0,16.99,70.09,0,0,4.25,0,0,0
 96-106,0,1.09,1.09,1.09,2.19,1.09,0,1.09,61.2,0,9.84,0,2.19,0,14.21,84.15,0,2.19,2.19,0,0,0
108-118,0,0,0,0.77,0.77,1.53,0,0,36.77,0.77,9.96,0.77,9.19,0,12.26,55.15,0,1.53,2.3,0,0,0
120,0,0,0,0,1.96,0,0,0,31.36,0,9.8,0,1.96,0,1.96,62.71,0,0,5.88,0,1.96,0
