stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,5,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,33.66,0,0,0.82,0,0,0,17.24,0,0.82,0,0
 36-46,0,0.81,4.03,0.81,1.61,0,0,0,0,0.81,3.22,0,1.61,78.15,0,0,0,0,0,0,20.95,0,1.61,0,0
 48-58,0,0,18.36,0,3.44,0,0,0,0,0,6.89,0.57,0.57,93.53,0,0.57,0.57,0,0.57,0,16.07,0,0.57,0,0
 60-70,0.98,0.98,51.04,0,8.83,0.98,0,0.98,0,1.96,15.7,0,0.98,115.82,0,0,0,1.96,0,0,19.63,0,0.98,0.98,0
 72-82,0,0,49.08,0.98,4.91,0,0,0,0.98,0,15.71,0.98,0,74.61,0,0.98,0,0,0,0,4.91,0,5.89,0,0
 84-94,0,0,42.48,0,9.56,1.06,1.06,0,0,0,9.56,0,3.19,44.61,0,0,0,0,0,0,1.06,3.19,1.06,0,0
 96-106,0,0,19.67,0,4.37,0,0,1.09,0,0,12.02,0,1.09,30.6,0,0,0,0,0,0,1.09,1.09,1.09,0,0
108-118,0.77,0.77,11.49,0,3.83,0,0,0.77,0,0,12.26,0,2.3,37.53,0.77,0,0,0,0,0,3.06,0,0,0,0.77
120,0,0,9.8,0,0,0,0,0,0,0,1.96,0,0,35.28,0,0,0,1.96,0,0,1.96,0,0,0,0
