stage,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,9.85,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,9.67,0,0,4.83,0,0
 48-58,0,0,1.15,0,0,0,0,0,0,0.57,0,14.92,0,0,12.05,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,0,28.46,0,0,6.87,0,0
 72-82,0,0,7.85,0.98,0.98,0,0.98,0.98,0,2.94,0,90.31,0,0,20.61,0.98,0
 84-94,1.06,0,7.43,1.06,3.19,0,0,0,1.06,0,0,47.79,0,0,15.93,0,1.06
 96-106,0,0,6.56,0,4.37,0,0,0,0,4.37,0,77.59,0,1.09,28.41,0,0
108-118,1.53,0,1.53,0,0,0,0,0,0,1.53,0.77,94.21,0.77,0,14.55,0,0.77
120,0,1.96,0,0,1.96,0,0,0,0,0,0,125.43,0,0,15.68,3.92,0
