stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,18.4,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,0,0,0,0,0,0,1,1,1,1,13,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0.82,0,0,0,0,0.82,0,0,0,0.82,0,0.82,2.46,0,1.64,211.78,0.82,0.82,0,0,0,0,0,4.1,2.46,2.46,27.09,0,4.1,0,0
 36-46,0,0,0,0,0,0,16.92,2.42,0,0,1.61,0,1.61,0,0,0,0,0,1.61,3.22,0,0.81,277.15,0,0.81,0,0,0,0,0,1.61,0.81,0,37.06,0,1.61,0,0.81
 48-58,0,0,0,0,0,0,53.36,6.31,0.57,0,6.31,0,0.57,0,0,0,0,0.57,5.16,6.89,0,0.57,170.42,0,0,0.57,0,0,0,0,1.15,1.15,0,29.26,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,96.19,1.96,0,0,11.78,0.98,0,5.89,0,0,0,0,0.98,6.87,0,0,125.63,0,0,0,0,0,0,0,2.94,1.96,0,15.7,0,0.98,0,0
 72-82,0,0,0,0,2.94,0.98,72.64,2.94,0,0,8.83,0,0,2.94,0,0.98,0.98,0,3.93,8.83,0,0,81.48,0,0,0,0,0,0,0,24.54,0,0,3.93,0,4.91,0,0
 84-94,0,0,0,0,0,1.06,63.72,3.19,0,0,8.5,0,0,3.19,1.06,0,0,0,7.43,7.43,1.06,2.12,60.54,0,0,0,0,4.25,0,0,39.3,3.19,0,1.06,0,3.19,0,0
 96-106,0,0,0,0,2.19,0,45.9,0,0,0,7.65,0,0,12.02,0,0,0,0,1.09,12.02,0,2.19,43.71,0,0,0,1.09,0,0,0,37.16,0,0,0,0,4.37,2.19,0
108-118,0,0,0,0,0.77,0,51.32,0.77,0,0.77,9.19,1.53,1.53,6.13,0,0,0.77,0.77,5.36,3.83,0,0,42.89,0,0.77,0,0,0,0,0,42.13,3.06,0,1.53,0.77,1.53,0,0
120,0,0,0,0,3.92,0,23.52,7.84,0,0,0,1.96,0,11.76,0,0,0,1.96,0,3.92,0,3.92,54.87,0,0,0,0,1.96,0,0,29.4,0,0,1.96,0,0,0,0
