stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,15.6,0,0,0,0,0.82,0,0,7.39,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,45.12,1.61,0,0,0,0.81,0,0,9.67,0,0.81,0
 48-58,0,0,0,0,0,4.59,0.57,0,2.3,0,0,0,0.57,0,1.72,0,1.15,84.35,0,0,0,0,1.72,0,0,9.75,0,0.57,1.72
 60-70,0,0,0,0,0,17.67,0,0,1.96,0,0,0,0,0,1.96,0.98,0.98,87.36,2.94,0,0,0,1.96,1.96,0,15.7,0,0.98,0.98
 72-82,0,0,0.98,0,0,54.97,0.98,0,4.91,0.98,0,0,0,0,2.94,0,0,121.73,1.96,0,0,0,2.94,0.98,0.98,12.76,0.98,0,0
 84-94,0,0,1.06,0,0,20.18,0,0,4.25,0,1.06,1.06,0,1.06,1.06,0,0,65.85,0,1.06,0,0,8.5,1.06,0,6.37,0,1.06,0
 96-106,0,0,2.19,0,0,27.32,0,1.09,8.74,0,0,0,0,1.09,0,0,0,55.74,2.19,0,0,1.09,3.28,0,0,1.09,0,2.19,0
108-118,0,0,0.77,0.77,1.53,14.55,0,0,5.36,0,0,0.77,0,0,1.53,0,0.77,55.92,1.53,0,0,0,3.06,0.77,0.77,1.53,0.77,1.53,0
120,0,0,1.96,0,0,9.8,1.96,0,3.92,0,0,0,0,0,1.96,0,0,66.63,1.96,0,0,0,3.92,0,0,1.96,0,0,0
