stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5,12,0,0,0,1,0,0,1,5,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0,3.28,0,0,10.67,17.24,0,0.82,0,0.82,0,0,0.82,1.64,1.64,0
 36-46,0,0,0.81,0,0,3.22,0,0,1.61,0,0,0.81,0,0,20.14,24.98,0.81,0,0,0.81,0,0,0,4.03,0.81,0
 48-58,0,0,0,0,0,8.61,0.57,0.57,5.74,0,0.57,3.44,0,0,18.94,10.9,0.57,0,0,0.57,0,0,0,6.89,1.72,0.57
 60-70,0,0,1.96,0,0,6.87,0,0,17.67,0.98,0,1.96,0.98,0,12.76,8.83,0,0,0,0,0,0.98,0,4.91,0,0.98
 72-82,0,0,0,0,0,0.98,0,0,3.93,0,0,0.98,0,0.98,0.98,3.93,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,1.06,3.19,0,0,2.12,0,1.06,4.25,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,0,9.84,0,0,6.56,0,1.09,2.19,3.28,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0.77,0,0,0.77,0,0,3.06,0,0,3.83,0,0,4.6,5.36,0,0,0,0.77,0,0,0,0.77,0,0
120,0,0,0,1.96,1.96,0,0,0,5.88,0,0,0,0,0,3.92,5.88,0,0,0,0,1.96,0,0,1.96,0,0
