stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,1,0,0,0,1,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.1,2.46,4.1,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,4.03,0,4.83,0,0,0,0,0,0,0,3.22,0.81,0
 48-58,0,0,0,0.57,0,0,4.02,0,0,0.57,0,0,2.3,1.15,0.57,0,0,0,0,0,0,0,1.15,0.57,0.57
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,0,2.94,0.98,3.93,0,0.98,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,2.94,0.98,0,0,0,0,2.94,0.98,4.91,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,1.06,1.06,0,0,8.5,0,0,0,2.12,1.06,5.31,1.06,3.19,0,0,0,0,0,0,0,0,0,0
 96-106,0,2.19,0,0,0,1.09,5.46,0,0,0,0,0,9.84,0,3.28,0,1.09,0,2.19,0,0,0,0,2.19,1.09
108-118,0,0.77,0.77,0.77,0.77,0,6.89,0,0.77,0,0,0,2.3,0,3.06,0.77,0.77,0,0,0,0.77,0,0,0.77,0
120,0,0,1.96,0,0,0,5.88,0,0,1.96,0,0,1.96,0,7.84,0,0,0,0,1.96,0,0,0,7.84,0
