stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,65.89,1370.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,502.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,23.66,0,0,0,39.43,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,252.36,7.89,0,0,134.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,12.59,0,0,0,34.62,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,333.58,9.44,0,0,185.67,0,0,3.15,25.18,0,3.15,0,0,0,0
 14-21,0,0,0,1,14,3,0,5,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,10,84,2,2,1,1,0,0,26,2,1,25,25,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,16.42,0,1.64,1.64,0.82,0,0,0.82,1.64,0,0,0,0.82,7.39,0,0,5.75,106.71,0,1.64,1.64,0,0,1.64,0.82,0.82,1.64,6.57,25.45,0,1.64,0
 36-46,0,0,0,0,2.42,0,0,21.75,0,0,4.03,0,0,0,0,0.81,0,0,0.81,1.61,12.09,0.81,0,4.83,84.6,0,0.81,0.81,0,0,1.61,0,0.81,0.81,0,17.72,0,2.42,1.61
 48-58,0,0,0,0,0.57,0,0,45.9,0,1.72,9.75,0.57,0.57,0,1.15,0,0.57,0,0,0,11.48,0,0,3.44,79.76,0,2.3,0.57,0,0,1.15,0,0,0,0,17.79,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,60.85,0.98,0.98,6.87,0,0,0,0,0.98,0,0,0,0,15.7,0,0,0,78.52,0.98,0.98,1.96,0,0,0,0,0,0,0,8.83,0,0.98,0.98
 72-82,0,0,0.98,0,2.94,0,0,44.17,0,0,4.91,0.98,0,0.98,0.98,0,0,0,0,0,16.69,0,0,1.96,78.53,0,0.98,0.98,0,0,1.96,0,0,0.98,0,4.91,0,1.96,0
 84-94,0,0,0,0,4.25,0,0,28.68,0,1.06,4.25,4.25,0,0,0,0,0,0,0,0,18.05,1.06,3.19,2.12,25.49,0,1.06,1.06,0,1.06,3.19,0,1.06,1.06,0,2.12,2.12,1.06,0
 96-106,0,0,0,0,5.46,0,1.09,15.3,0,0,5.46,2.19,0,0,6.56,1.09,0,0,0,0,15.3,0,0,3.28,21.86,0,2.19,0,0,0,1.09,0,0,0,0,0,1.09,2.19,0
108-118,0,0,0,0,3.83,0,1.53,19.15,0.77,0,6.89,3.06,0,0.77,1.53,0,0,0,3.06,0,5.36,0,0,6.89,31.4,0,0.77,0,0,1.53,2.3,0,0,0,0,1.53,0,3.06,0
120,0,0,0,0,5.88,0,0,9.8,3.92,0,1.96,0,0,0,1.96,0,0,1.96,0,0,5.88,0,0,3.92,21.56,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0
