stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 14-21,0,1,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0
 24-34,0,0,6.57,0,0.82,0.82,0.82,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,4.83,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,0,1.72,0,0,0,0.57,0,0,1.15,0,0,1.15,0.57
 60-70,0,0,0.98,0,2.94,1.96,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,1.96,0,3.93,2.94,5.89,0,0,0.98,0.98,0,1.96,0,0,0,0
 84-94,0,0,1.06,0,5.31,0,6.37,0,1.06,1.06,0,0,2.12,1.06,0,0,0
 96-106,0,0,1.09,0,2.19,0,6.56,0,0,1.09,0,1.09,2.19,0,0,3.28,0
108-118,0,0,1.53,0.77,8.43,1.53,6.89,0,0,0,0,0,0,0,0,1.53,0
120,0,0,0,0,1.96,1.96,3.92,1.96,0,0,0,0,0,0,0,0,0
