stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,iridophores,mesenchyme,neural,paraxial_mesoderm,periderm,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,13.13,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,8.86,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,4.02,0
 60-70,0,0,0,3.93,0,0,1.96,1.96,0,0,0.98,3.93,0
 72-82,0.98,0,0,18.65,0.98,0,0,3.93,0,0,0,8.83,0
 84-94,0,0,0,11.68,0,0,0,3.19,0,0,0,10.62,0
 96-106,0,0,1.09,24.04,2.19,0,0,5.46,0,0,0,6.56,1.09
108-118,0,0,0,15.32,0.77,0.77,0.77,0.77,0,0,0,9.19,0
120,0,0,0,5.88,0,0,0,0,0,0,0,9.8,0
