stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,0,0,1,1,0,0,1,2,3,0,0,0,0,1,5,1,0,2,0
 24-34,0,0,0,0.82,0,0,0,1.64,0,0,0,0.82,0,0.82,0.82,9.03,0,1.64,0,0,0.82,0.82,7.39,0,2.46,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,2.42,0,9.67,0,0,0,0,0,0,12.89,0,0,0
 48-58,0,0,0,0,0,0.57,0.57,1.15,0,0,0,0,0,0.57,0.57,5.74,0,0,0,0,0.57,0,4.59,0,1.15,0
 60-70,0,0,0,0,0,0.98,0,1.96,0.98,0,0,0,0,2.94,0,1.96,0,0,0,0,0,0,2.94,0,1.96,0
 72-82,0,0.98,0,2.94,0,1.96,0,0,0.98,0,0.98,0,0.98,5.89,0,2.94,0,0,0,0,0,0,2.94,0,0,0.98
 84-94,0,1.06,0,3.19,0,1.06,0,0,0,0,0,0,0,1.06,1.06,1.06,0,0,0,2.12,0,0,1.06,1.06,1.06,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0.77,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,5.88,0,0,0,3.92,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
