stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0,2.46,0,0,0,0,3.28,6.57,0,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,8.86,0,0.81,0,0,0,3.22,0.81,0,0,0,0.81,9.67,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,0.57,0,0,0,0,0,10.33,0,0,0,0,0,0.57,0,0,0,0,0,1.72,0,0.57,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0.98,0,27.48,0,1.96,0,0,0,5.89,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0.98,0.98,0,3.93,0,0,2.94,0,0,0.98,0,0,1.96,0,107.98,0,10.8,0,0,0,19.63,0,0,0,0,0.98,0,0,1.96,0,0,0,0
 84-94,0,1.06,1.06,1.06,2.12,0,0,2.12,2.12,0,0,1.06,0,0,0,383.4,0,4.25,0,0,0,14.87,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,6.56,5.46,4.37,16.39,2.19,0,4.37,0,0,0,1.09,4.37,0,0,619.64,0,20.76,1.09,0,2.19,110.38,0,1.09,3.28,0,16.39,0,0,2.19,1.09,4.37,1.09,2.19
108-118,0,11.49,1.53,3.83,19.92,2.3,2.3,9.19,2.3,0,0,3.83,3.06,0.77,1.53,1297.54,1.53,24.51,2.3,1.53,1.53,100.34,1.53,3.06,1.53,1.53,6.89,2.3,1.53,2.3,0,3.83,0.77,0.77
120,0,7.84,9.8,0,5.88,0,0,7.84,3.92,0,0,3.92,0,0,0,762.36,0,19.6,1.96,1.96,1.96,101.91,1.96,1.96,0,0,11.76,0,1.96,0,0,3.92,0,0
