stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,1,7,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0.82,9.03,0,0.82,0,0,0,3.28,0,0,19.7,0,0
 36-46,0,0,0,0,2.42,0,0.81,0,0,0,0,0,8.06,0,0,0,0,0,1.61,0,0,13.7,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,1.72,0,0,12.05,0,0,0,0,0,0.57,0,0,6.31,0.57,0
 60-70,0,0,0,0,11.78,0,0,0,0,0.98,0,0,13.74,0,0,0,0,0,0,0,0,6.87,0,0
 72-82,0,1.96,0,0.98,23.56,6.87,0,0,0,3.93,0,0,8.83,0.98,0.98,0,0,0,0.98,0,0,5.89,1.96,0
 84-94,0,0,0,0,26.55,2.12,0,0,1.06,1.06,1.06,0,10.62,0,0,0,0,1.06,3.19,0,0,2.12,1.06,0
 96-106,0,0,2.19,0,28.41,1.09,0,0,0,5.46,2.19,0,9.84,0,1.09,0,0,0,3.28,0,0,0,5.46,0
108-118,0,0,0,0,30.64,3.06,0,0.77,0,2.3,2.3,0.77,12.26,0,0.77,0,0,0.77,2.3,0,0,2.3,2.3,0.77
120,0,3.92,0,0,33.32,0,0,0,0,1.96,1.96,0,9.8,0,1.96,0,0,0,1.96,0,0,0,0,0
