stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,8,90,0,2,0,0,0,5,0,240,218,60,0,0,0,0
 24-34,0,2.46,0,1.64,0,0,11.49,4.93,0,0,0.82,0,1.64,0,0.82,0,0,0,3.28,0,10.67,325.06,1.64,4.1,0.82,0,1.64,0,0,89.47,128.87,131.34,0,0,0.82,1.64
 36-46,0,0,0,0,0.81,0,55.59,3.22,0.81,0,4.03,0,0,0,0,0,0.81,0.81,3.22,0,3.22,633.26,0,10.47,0,0,4.03,0,0,16.92,4.03,250.56,0,0,1.61,0
 48-58,0,0,0,1.15,0.57,0,129.68,2.3,0.57,0.57,16.64,0,0.57,0,0,0.57,0,0.57,8.03,0,4.02,660.45,0,5.16,0.57,1.15,1.72,0,0.57,10.33,0,250.75,0,0,0.57,1.15
 60-70,0,0,0,0.98,0,0,198.27,5.89,0,0,11.78,0,0,0,0,0,0,0,11.78,0,1.96,986.43,0,8.83,0,0,1.96,0,0,12.76,0,254.21,0,0,0,0
 72-82,0,1.96,0,9.82,0.98,0,203.2,3.93,0.98,0.98,20.61,0,0,0,0,0,0,0,19.63,0,5.89,924.73,0,8.83,0,0,0.98,0,0,5.89,0,138.41,0,1.96,0,0.98
 84-94,0,2.12,0,4.25,1.06,0,120.01,3.19,1.06,0,22.3,0,2.12,0,0,2.12,0,0,13.81,2.12,1.06,544.83,0,6.37,0,0,2.12,0,0,8.5,0,74.34,1.06,0,1.06,0
 96-106,0,1.09,0,7.65,2.19,1.09,124.58,4.37,0,0,34.97,0,0,3.28,1.09,2.19,0,1.09,14.21,1.09,2.19,487.41,0,6.56,0,0,2.19,0,0,5.46,0,45.9,1.09,0,3.28,0
108-118,0,1.53,0,5.36,1.53,0.77,109.53,5.36,0,0,25.28,0.77,0,0.77,1.53,3.06,0.77,1.53,17.62,1.53,2.3,499.41,0.77,2.3,0.77,0,0.77,0,0,6.13,0,29.87,2.3,0,0.77,2.3
120,0,3.92,0,5.88,1.96,0,111.71,3.92,0,0,35.28,0,0,1.96,0,1.96,0,0,13.72,1.96,1.96,580.1,0,0,1.96,0,1.96,0,0,3.92,0,48.99,0,1.96,1.96,0
