stage,blastomeres,endoderm,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,0,5.26,2.63,0,5.26,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,1,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,2.46,0,2.46,0
 36-46,0,0,0,0,0,0.81,2.42,0,2.42,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0,2.3,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,3.19,2.12,0,0,1.06,0,2.12,0,0,0
 96-106,0,0,5.46,1.09,1.09,0,2.19,0,2.19,0,0,0
108-118,0,0,2.3,2.3,0,0,0.77,0,0,0,0,0.77
120,0,0,1.96,21.56,0,0,1.96,0,1.96,0,0,0
