stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.21,10.51,0,0,26.29,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.23,0,0,0,47.2,0,0,6.29,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,21,4,0,18,0,0,0,23,0,0,0,0,0,0,0,11,0,5,98,1,0,0,1,0,0,2,14,3,26,54,0,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,0,6.57,0,0.82,0.82,9.85,0,0.82,0,0,0,0,0.82,5.75,0,4.93,59.92,4.1,0,0.82,0,0,1.64,0,0.82,23.8,0.82,28.73,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0,0,2.42,0,0,0,0,0,0,0,12.09,0,0.81,36.26,4.03,0,0,0,0,0.81,0,0,16.92,0,17.72,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.59,0,0,0.57,4.02,0,0,0,0,0,0,0.57,7.46,0,1.72,12.05,0.57,0,4.02,0,0,0,0,0,12.62,0,18.36,0,0,0,0,0
 60-70,0.98,0,0,0,0.98,0,0,7.85,0,1.96,0.98,17.67,0.98,0,0,0,0,0.98,6.87,14.72,0,0,14.72,0.98,0,7.85,0,0,0,0,0,15.7,0,17.67,0,0.98,0,0,0
 72-82,0,0,0,1.96,4.91,0,1.96,17.67,0,2.94,0,76.57,0.98,0,0,0,0,2.94,56.94,31.41,0,4.91,25.52,0,1.96,9.82,0,0,0.98,0,0,21.6,0,22.58,7.85,0,2.94,1.96,0
 84-94,0,0,1.06,4.25,2.12,0,1.06,22.3,0,0,0,61.6,4.25,0,1.06,0,2.12,14.87,242.14,21.24,1.06,0,21.24,0,0,19.12,0,1.06,3.19,0,0,53.1,0,26.55,76.47,2.12,2.12,1.06,3.19
 96-106,0,0,0,9.84,18.58,1.09,3.28,28.41,1.09,0,3.28,85.24,4.37,0,4.37,3.28,4.37,8.74,351.9,32.79,1.09,10.93,79.78,4.37,1.09,22.95,0,0,10.93,0,0,40.44,0,37.16,159.56,1.09,4.37,7.65,1.09
108-118,0.77,0,0,14.55,10.72,6.13,6.13,23.74,0,3.83,0,74.3,7.66,0.77,0.77,0,5.36,16.85,680.94,32.94,2.3,12.26,54.38,0,0,28.34,0,0,4.6,0,0,40.6,0,16.85,183.83,0,0.77,2.3,0
120,0,0,1.96,0,1.96,0,1.96,17.64,0,1.96,0,68.59,9.8,0,1.96,1.96,0,15.68,272.41,35.28,0,19.6,43.12,0,0,7.84,0,0,3.92,0,0,29.4,0,21.56,68.59,0,0,1.96,0
