stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,11,3,0,0,0,0,2,0,0,3,4,0,5,0,0
 24-34,0,0,4.93,0.82,0,2.46,0,0,0,0,0,0,1.64,1.64,0.82,0,0.82,0,22.98,0,0,10.67,17.24,1.64,0,0,0,0,0,0,0,0,8.21,0,17.24,0,0.82
 36-46,0,0,2.42,0,0,1.61,0.81,0,0.81,1.61,0,0,1.61,3.22,0.81,0,0,0.81,59.62,0,0,13.7,13.7,0.81,0,0,0,0,0,0.81,0,0,1.61,0,18.53,0,1.61
 48-58,0,0,1.72,0,0,3.44,0,1.72,2.3,5.16,0.57,0,1.72,2.3,2.3,0.57,0.57,0.57,38.44,0,0.57,8.03,9.75,0,0,0,0,0.57,0,0,0,0,2.87,0.57,13.77,0,1.15
 60-70,0,0,0.98,0,0,1.96,0,2.94,4.91,25.52,0,0,2.94,5.89,0,0,0,0.98,83.43,0,0.98,8.83,17.67,0,0,0,1.96,0,0,0,0,0,2.94,0.98,10.8,0,0.98
 72-82,0,0,1.96,0,0,6.87,0,1.96,1.96,10.8,0.98,0,0.98,1.96,0.98,0,3.93,0.98,53.01,0.98,1.96,1.96,10.8,0,0,0,1.96,0,0,0,0.98,0,1.96,1.96,23.56,4.91,2.94
 84-94,0,0,3.19,0,1.06,10.62,0,2.12,4.25,10.62,4.25,0,1.06,9.56,6.37,3.19,6.37,2.12,54.16,0,5.31,4.25,5.31,3.19,0,0,0,1.06,0,0,0,0,1.06,1.06,16.99,2.12,0
 96-106,0,0,5.46,0,0,4.37,0,1.09,3.28,18.58,1.09,0,4.37,9.84,8.74,5.46,5.46,0,34.97,0,4.37,4.37,8.74,0,0,0,1.09,2.19,0,0,0,0,0,2.19,20.76,1.09,0
108-118,0,0,3.83,0,3.83,3.83,0,2.3,1.53,20.68,3.06,0,1.53,4.6,8.43,6.13,6.13,0.77,30.64,0,1.53,4.6,4.6,0.77,0.77,0,0.77,0,0,2.3,0,0,0,0.77,21.45,1.53,1.53
120,0,0,5.88,0,1.96,3.92,0,0,0,19.6,5.88,0,0,15.68,5.88,1.96,3.92,0,25.48,0,1.96,1.96,7.84,3.92,3.92,0,0,1.96,0,0,0,0,0,3.92,27.44,0,1.96
