stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,0,0,0,0,28.32,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,4,0,0,24,0,0,2,1,30,2,0,1,2,0,0,17,6,6,17,79,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,18.88,0,0,2.46,2.46,10.67,0,10.67,4.93,0,0,0,0,5.75,1.64,3.28,48.43,0,0.82,0
 36-46,0,0,0,0,0,0,1.61,16.92,0.81,0,0.81,0,4.83,0,9.67,2.42,0,0,0,0,3.22,0,0,25.78,0,0,0
 48-58,0,0,0,0,0,0.57,1.15,18.36,2.3,0.57,0.57,0,5.16,0,7.46,1.72,0,0,0,0,5.74,0,0,26.4,0,0,0
 60-70,0,0,0,0,0,2.94,0.98,13.74,1.96,0,0.98,1.96,2.94,0,15.7,6.87,0,0,0,0,0.98,0,0,13.74,0,0,0
 72-82,0,0,0,0.98,0,1.96,0,24.54,8.83,0,2.94,0.98,0.98,0,24.54,8.83,0,0,0,0,0.98,0,0,10.8,0,0,0
 84-94,0,0,1.06,0,1.06,4.25,0,23.36,9.56,0,0,0,1.06,0,27.61,21.24,0,2.12,1.06,0,6.37,0,0,15.93,0,0,1.06
 96-106,0,1.09,0,0,0,2.19,1.09,15.3,16.39,0,1.09,0,7.65,0,42.62,21.86,0,0,0,0,1.09,0,0,10.93,1.09,0,0
108-118,0,0,0.77,0,0,3.83,0,13.02,11.49,0.77,2.3,2.3,3.06,0,30.64,16.09,0,0,0,0,4.6,0,0,9.96,0,0,0
120,0,0,0,0,0,5.88,0,9.8,9.8,0,1.96,0,1.96,0,17.64,17.64,0,0,0,0,3.92,0,0,9.8,1.96,0,0
