stage,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12,1,1,3,2,1,0,1,6,0,0,0,0
 24-34,0,3.28,2.46,0,4.93,0,0.82,0,0,0,0,0,0.82,1.64,0,0.82,18.88,0.82,0,0,7.39,0.82,0,0.82,9.85,0,2.46,0,0
 36-46,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0,4.83,0,1.61,12.09,0,0,0,5.64,0,0,0,0.81,0,0.81,0,0
 48-58,0,0.57,1.72,0,1.15,0.57,1.72,0,0.57,0,0,0,0,6.31,0,1.15,6.31,0,0,0,2.87,0,0,0,1.15,0,1.15,0,0.57
 60-70,0,4.91,0,0,2.94,0.98,2.94,0,0.98,0,0.98,0.98,0,7.85,0.98,1.96,2.94,0,0,0,7.85,0,0,0,0,0,1.96,0,0.98
 72-82,0,1.96,3.93,0,0,0,2.94,0,0,0.98,0.98,0,0.98,8.83,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0.98,3.93,0,0
 84-94,0,1.06,2.12,0,1.06,1.06,5.31,0,0,1.06,2.12,0,0,8.5,0,1.06,4.25,1.06,0,0,26.55,0,0,0,0,1.06,0,1.06,0
 96-106,0,1.09,1.09,2.19,1.09,0,3.28,0,0,1.09,0,0,1.09,6.56,0,0,2.19,0,0,0,14.21,0,0,0,2.19,0,4.37,1.09,0
108-118,0,6.13,4.6,0.77,3.83,0,3.06,1.53,0,0.77,0.77,0.77,0.77,3.83,0,1.53,0.77,0,1.53,0,19.92,0,0,0,0.77,0,0.77,0.77,0
120,0,1.96,0,0,1.96,1.96,7.84,0,0,1.96,0,0,0,7.84,0,0,0,0,0,0,13.72,0,1.96,0,0,0,0,0,0
