stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,4.1,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,71.7,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,0.57,0,320.18,0,3.44,0,0,0.57,0,0,1.72,0,0.57,18.94,0.57,0,0,0.57,0,0,0,4.59,0,0,0,0
 60-70,0,0,0,0,743.99,0,0.98,0.98,0,0,0,0,3.93,0,0,23.56,0,0,0,0,0,0.98,0,10.8,0,0,0,0
 72-82,0,0,2.94,0.98,866.81,0.98,13.74,0,0,0,0.98,0,13.74,0,1.96,49.08,0,0,0,0,0,0,0.98,3.93,0,0,0.98,0.98
 84-94,0,0,5.31,1.06,484.29,1.06,13.81,1.06,1.06,0,0,0,6.37,1.06,0,35.05,0,1.06,0,0,1.06,0,0,2.12,0,0,1.06,0
 96-106,0,0,4.37,2.19,324.58,0,9.84,0,1.09,1.09,0,2.19,7.65,0,1.09,39.34,0,1.09,0,0,0,0,0,1.09,1.09,1.09,0,0
108-118,0,0.77,4.6,0,225.19,0.77,5.36,0.77,0,0.77,0,0.77,3.83,1.53,0,36,0,0,2.3,0,0,0,0,0,0,0.77,0,0
120,0,0,1.96,0,146.98,0,3.92,0,0,0,0,0,5.88,0,0,52.91,0,0,0,0,1.96,0,0,0,0,0,0,0
