stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3,4,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,7,6,3,0,0,0,0,16,0,1,1,1,2,11,0,0,0,0,0
 24-34,0,0,0,10.67,0,0,3.28,0.82,0.82,0.82,3.28,0,3.28,0,0,0,0,0,0.82,4.93,42.68,0,0,43.51,31.19,4.93,0,0,0,0,39.4,0,0,0,0,3.28,9.03,0,0,12.31,0,12.31
 36-46,0,0.81,0,8.06,0.81,0,6.45,1.61,1.61,1.61,6.45,0,0,0.81,0.81,0,0,0,0,69.29,81.37,0,0.81,16.92,66.87,10.47,0,0,0,0,31.42,0,0,2.42,0.81,0,22.56,0,0,8.06,0,43.51
 48-58,0,0,0.57,5.74,0,0,14.92,5.16,1.72,4.59,10.33,1.15,2.3,0,1.72,0,1.72,0.57,0.57,65.99,76.32,1.15,0.57,16.07,102.71,8.61,0,0,0,0.57,22.38,0,0,1.15,0.57,0,17.21,0,0,1.72,0,60.25
 60-70,0,1.96,0.98,6.87,0,0,51.04,3.93,1.96,14.72,22.58,1.96,0,0.98,0.98,1.96,5.89,0,0.98,47.11,177.66,0.98,2.94,15.7,193.36,5.89,0,0,0,0,38.28,0,0,0.98,0,0,25.52,0,0,9.82,0,64.78
 72-82,0,4.91,0,10.8,0.98,0,117.8,0.98,1.96,24.54,33.38,2.94,1.96,0.98,3.93,0.98,10.8,0,1.96,42.21,327.88,0,4.91,30.43,222.84,6.87,0.98,0.98,0.98,0,36.32,0,0,0.98,0.98,0,28.47,0,3.93,27.49,0.98,47.12
 84-94,0,4.25,0,27.61,1.06,0,115.76,5.31,18.05,24.43,32.92,6.37,1.06,1.06,11.68,8.5,23.36,2.12,2.12,88.15,236.83,2.12,3.19,22.3,122.13,12.74,2.12,2.12,0,0,100.89,0,0,0,0,0,16.99,0,1.06,23.36,0,57.35
 96-106,0,0,0,28.41,1.09,0,107.1,5.46,13.11,21.86,36.06,10.93,0,3.28,8.74,1.09,25.14,0,3.28,60.11,298.35,1.09,4.37,24.04,132.23,8.74,3.28,7.65,0,2.19,88.52,1.09,0,0,1.09,0,21.86,2.19,2.19,30.6,5.46,61.2
108-118,0,1.53,0,43.66,3.06,5.36,105.7,3.83,22.21,22.98,38.3,14.55,0,3.06,6.13,3.06,50.55,0,1.53,80.43,315.58,6.13,3.83,26.04,157.79,9.19,0,5.36,0,0,61.28,0,0,2.3,0.77,0,14.55,1.53,0.77,29.87,0.77,77.36
120,1.96,0,0,47.03,1.96,0,86.23,1.96,19.6,19.6,41.16,19.6,0,1.96,9.8,3.92,27.44,0,1.96,27.44,274.37,1.96,11.76,15.68,190.1,19.6,1.96,5.88,0,1.96,43.12,0,0,1.96,0,0,17.64,1.96,1.96,15.68,3.92,15.68
