stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,15.73,0,0,3.15,0,0,0,0
 14-21,0,4,1,0,8,0,0,1,0,0,0,0,0,0,0,5,0,4,58,1,0,0,0,2,3,0,5,19,0,1
 24-34,0,2.46,0,0,21.34,0.82,0.82,0,0,0,0.82,0,0,0,0.82,12.31,0.82,7.39,94.4,0.82,1.64,0,0,2.46,0,0,1.64,18.06,0,2.46
 36-46,0,0,0,0,16.11,0,0,4.03,0,0,0,0,0,0,0,7.25,0.81,1.61,31.42,0.81,0,0,0,0.81,0,0,0,7.25,0,0
 48-58,0,0.57,0,0,6.31,0,0,1.15,0,0,0,0.57,0,0,0,6.89,0,1.72,9.75,0.57,0,0.57,0,1.72,0,0,0,0,0,0
 60-70,0,2.94,0,0,8.83,0.98,0,4.91,0,0,0,0,0.98,0,0,12.76,0,2.94,7.85,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0.98,4.91,0,10.8,1.96,2.94,7.85,0,0,0,0,0,0,0.98,22.58,0,1.96,11.78,0,1.96,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,1.06,3.19,1.06,7.43,0,1.06,1.06,0,0,0,0,0,0,0,11.68,1.06,3.19,4.25,0,1.06,1.06,0,1.06,0,0,0,0,0,1.06
 96-106,0,3.28,5.46,0,13.11,0,0,3.28,0,0,0,0,1.09,1.09,0,14.21,0,2.19,9.84,0,2.19,1.09,0,1.09,0,0,0,1.09,0,0
108-118,0,0,8.43,0,5.36,0,0,1.53,0,0,0,0,0,0,0.77,16.09,0,1.53,12.26,0,0,0,0,0.77,0,0,0,0,0,1.53
120,0,1.96,3.92,0,9.8,0,0,9.8,1.96,0,1.96,0,0,0,1.96,11.76,0,1.96,21.56,0,0,0,0,0,0,0,0,0,1.96,1.96
