stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,28.92,0,13.14,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,31.47,0,15.73,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,1,0
 24-34,0,0,0,0,0.82,2.46,0,0.82,0,0,0.82,1.64,0,0,8.21,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,2.42,0,0.81,0,0,0,0.81,0,0.81,8.86,0,0,0.81,0,0,3.22,0.81
 48-58,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0.57,4.02,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,5.89,0,0,0,0,0,1.96,0,0,4.91,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,2.94,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,2.12,1.06,0,3.19,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77,0.77,0,0.77,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,7.84,0,0,0,0,0,0,0
