stage,erythrocytes,eye,immune,ionocyte,liver,mesenchyme,muscle,neural,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,1,0,0,0,0,2,1,4,1,0,2,0
 24-34,2.46,0,0,0.82,0,0.82,0,2.46,0,1.64,1.64,0
 36-46,0,0.81,0,0,0,0,0,3.22,0,0,1.61,0
 48-58,0,2.87,0,0,0.57,0,0,0.57,0,0,4.02,0
 60-70,0,0.98,0,0,0,1.96,0,1.96,0,0,1.96,0
 72-82,0,0,0.98,0,0,0,0,2.94,0,0,2.94,0
 84-94,1.06,0,0,0,0,0,0,0,0,0,4.25,0
 96-106,0,0,1.09,0,0,1.09,0,1.09,0,0,2.19,1.09
108-118,0,0.77,1.53,0,0,4.6,0,0.77,0,0,4.6,0
120,0,0,5.88,0,0,0,0,0,0,0,1.96,0
