stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,11,4,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,6,14,2,1,0,0,0,3,0,2,0,4,4,0,0,1,0,0
 24-34,0,1.64,0.82,12.31,0.82,0,4.1,0,3.28,1.64,3.28,0,0,1.64,0,4.93,0,0.82,0,1.64,24.63,0,0,7.39,63.21,1.64,4.93,1.64,0,0.82,22.98,0,0,3.28,3.28,21.34,0,0,12.31,0,2.46
 36-46,0,0,0,12.89,0.81,0,15.31,0,3.22,4.03,8.86,2.42,3.22,3.22,0,0,0.81,0.81,0,4.03,57.2,4.83,1.61,16.92,90.23,3.22,5.64,0.81,0,0.81,20.95,0,0,0,0,22.56,0,0.81,12.89,0,0.81
 48-58,0,0,0.57,6.31,0,0,5.74,0,2.3,2.87,8.03,0.57,0.57,3.44,0.57,0.57,0,1.72,0,9.18,57.38,2.87,2.3,12.62,30.41,2.87,2.3,1.15,0.57,0,3.44,0,0,0,0,9.75,0,0.57,10.9,0,1.72
 60-70,0,0.98,0,14.72,2.94,0,17.67,0,6.87,7.85,19.63,1.96,0,0,2.94,0.98,0.98,0.98,0.98,3.93,134.47,4.91,3.93,8.83,31.41,0.98,6.87,2.94,0,3.93,15.7,0,0,0,0,7.85,0.98,4.91,8.83,2.94,2.94
 72-82,0,1.96,0.98,13.74,9.82,0,9.82,0.98,5.89,6.87,31.41,4.91,0,2.94,4.91,1.96,3.93,8.83,0,4.91,166.88,8.83,3.93,16.69,18.65,0,5.89,4.91,0,2.94,24.54,0.98,0,0,0,1.96,1.96,2.94,31.41,1.96,1.96
 84-94,0,1.06,0,31.86,1.06,0,21.24,0,15.93,5.31,19.12,4.25,4.25,4.25,7.43,2.12,0,0,0,6.37,76.47,5.31,1.06,10.62,12.74,2.12,10.62,2.12,0,3.19,13.81,0,0,1.06,0,4.25,1.06,3.19,15.93,0,2.12
 96-106,0,1.09,0,32.79,13.11,0,15.3,3.28,7.65,1.09,34.97,6.56,0,4.37,19.67,1.09,5.46,12.02,2.19,6.56,140.98,7.65,5.46,5.46,34.97,3.28,13.11,17.49,0,2.19,33.88,1.09,0,0,0,6.56,8.74,5.46,27.32,6.56,7.65
108-118,0,1.53,0,58.21,6.89,0,15.32,0,17.62,5.36,27.57,5.36,0,4.6,14.55,3.06,8.43,5.36,0.77,6.13,115.66,3.83,2.3,6.89,25.28,0.77,1.53,3.83,0,3.06,22.21,0,0,0,0,3.06,9.96,0.77,17.62,6.89,6.89
120,0,1.96,0,56.83,7.84,1.96,13.72,0,9.8,1.96,37.24,9.8,0,5.88,17.64,5.88,1.96,1.96,3.92,7.84,80.35,5.88,1.96,5.88,48.99,5.88,7.84,5.88,0,0,15.68,0,0,5.88,0,0,9.8,1.96,23.52,1.96,3.92
