stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,4.1,0,0,0,0,2.46,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,1.61,0,0,0,0.81,0.81,0
 48-58,0,0,0,0.57,0.57,0,0,0.57,0,2.3,0,0,0,0,1.15,0
 60-70,0,0,0,3.93,0.98,0,0,0.98,0,3.93,0,0,0,0.98,0,0
 72-82,0,0,0,1.96,0,0,0,0.98,0,6.87,0,0,0,0,0.98,0.98
 84-94,0,3.19,0,0,0,0,0,1.06,0,2.12,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0.77,0.77,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
