stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,1,1,0,0,2,2,1,7,9,0,0,0,0
 24-34,0,0,0,3.28,0,1.64,0.82,0.82,1.64,0,0,0,0,0.82,0,0,0.82,0,5.75,0,4.1,48.43,0,4.1,0,0,4.93,0,1.64,1.64,11.49,0,0,0,0.82
 36-46,0,0.81,0,0,0.81,8.86,0,0.81,4.83,0,0,0,0,0,0,0,0,0,8.06,0,0.81,24.98,0,5.64,0,0,8.06,0,0,0.81,4.03,0,0,0,0.81
 48-58,0,0,0,1.15,0.57,10.9,0,0,5.74,0,0.57,0,0.57,0,0,0,0,1.15,5.74,0,0.57,28.69,0.57,6.89,0,0,2.87,0,0,0,6.31,0,0,0.57,0
 60-70,0,0,0,2.94,1.96,9.82,0.98,0,2.94,0.98,0,0.98,0,0,0,0,0,0.98,0.98,0,0,9.82,0,0.98,0,0,12.76,0,1.96,0,2.94,0,0,0,0.98
 72-82,0,0.98,0,0.98,0.98,27.49,0,0.98,29.45,0,0,0,2.94,0,0,1.96,0,0,7.85,0.98,0,44.17,0,27.49,0,0,6.87,0,0,0,3.93,0.98,0.98,1.96,1.96
 84-94,0,0,0,7.43,4.25,24.43,1.06,2.12,15.93,1.06,0,0,5.31,0,1.06,2.12,0,2.12,9.56,1.06,0,24.43,0,13.81,1.06,0,29.74,0,0,0,2.12,4.25,0,1.06,5.31
 96-106,0,1.09,0,5.46,2.19,15.3,1.09,0,15.3,1.09,0,0,8.74,1.09,1.09,3.28,1.09,0,5.46,3.28,0,32.79,0,34.97,2.19,0,19.67,0,0,0,3.28,5.46,0,1.09,4.37
108-118,0,0,0,7.66,0,23.74,3.06,1.53,26.81,3.06,0,0,3.83,0,4.6,1.53,0,0.77,6.89,0,0,35.23,0,22.21,0.77,0,15.32,0,0.77,0,0.77,7.66,0,2.3,6.89
120,0,0,0,1.96,0,3.92,0,0,11.76,0,0,0,3.92,1.96,0,0,0,0,11.76,0,3.92,29.4,0,15.68,0,0,27.44,0,1.96,0,1.96,3.92,0,1.96,0
