stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,5,0,0,0,0,0,1,88,0,0,0,0,0
 24-34,0,0,4.1,0,0.82,0,0,15.6,0.82,0,0,3.28,0,0,0,0,0,0,0,1.64,4.93,0,0,570.49,0,21.34,0,0,0,2.46,0,0,206.03,0,0,1.64,0,0.82
 36-46,0,0,0,0,4.03,0,0,39.48,0,0,0,4.83,0,0,0.81,0,0,0,0,4.83,2.42,0,2.42,1134.38,0,25.78,0.81,0,0,1.61,0,0,261.04,0,0,2.42,0,0
 48-58,0,0,0.57,0,2.3,0,0,118.78,0,0,1.15,21.23,0,0,0.57,0,0,1.72,0,6.31,5.74,0,2.3,1181.46,0,20.66,1.15,0,0.57,0.57,0,0,231.24,0,0,2.87,0,1.15
 60-70,0,0,0.98,0,3.93,1.96,0,369.05,0,0,0.98,29.45,0,0,0,0.98,0,0.98,0.98,0,17.67,0.98,0,1387.87,0.98,16.69,0,0,0,0,0,0,218.88,0,0,1.96,0,1.96
 72-82,0,0,5.89,0,10.8,2.94,0,582.13,0,0.98,0,59.88,3.93,0,0,0,0,5.89,0,5.89,22.58,0,0.98,1301.68,0,31.41,1.96,0,0.98,2.94,0,0,110.93,0,0.98,5.89,0,2.94
 84-94,0,0,2.12,0,8.5,0,0,369.59,1.06,0,0,52.04,3.19,0,0,1.06,0,4.25,0,2.12,18.05,0,2.12,641.47,0,25.49,2.12,0,0,4.25,0,0,58.41,0,1.06,8.5,1.06,1.06
 96-106,0,0,4.37,0,5.46,2.19,1.09,290.7,0,1.09,1.09,40.44,1.09,0,1.09,1.09,0,7.65,0,0,15.3,1.09,2.19,450.25,0,38.25,2.19,0,0,2.19,0,0,27.32,3.28,0,2.19,0,2.19
108-118,0,0,5.36,0,13.02,0,6.89,238.98,0,2.3,0,39.06,2.3,0,0,1.53,0.77,10.72,0.77,1.53,22.98,0.77,1.53,706.98,0,32.94,1.53,0,0,3.06,0.77,0,23.74,1.53,0,3.06,0,0.77
120,0,0,0,0,11.76,0,0,125.43,0,1.96,0,31.36,0,0,0,0,0,5.88,0,1.96,11.76,0,1.96,627.13,0,17.64,5.88,0,0,3.92,1.96,0,13.72,0,0,1.96,0,0
