stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,spinal_cord,taste,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,5.26,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,9.44,0,0,0
 14-21,0,1,2,1,0,0,0,0,1,0,0,1,0,0
 24-34,0,0,0,3.28,0,0,0.82,0.82,16.42,0.82,0,4.1,0,1.64
 36-46,0,0,0,3.22,0,0,0,0.81,8.86,0,0,6.45,0,0.81
 48-58,0,0,0,4.59,1.72,0.57,1.15,0,8.03,0,0,0,0,0
 60-70,0,0,0,4.91,0,0,1.96,0,6.87,0,0,0.98,0,0
 72-82,0,0,0,5.89,0,0,0,0,9.82,0,0,0,0.98,0.98
 84-94,0,0,1.06,3.19,1.06,0,1.06,0,3.19,0,0,0,1.06,0
 96-106,0,2.19,0,3.28,1.09,0,1.09,0,2.19,0,0,1.09,0,0
108-118,0,0,0,2.3,0,0,1.53,0,3.83,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
