stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,12.59,0,0,0,0,0,0,0
 14-21,0,3,1,1,0,2,0,0,0,0,0,0,0,0,29,0,0,0,0,11,0,0,0,0
 24-34,0,0.82,1.64,2.46,0,0.82,0.82,0,0,0,0.82,0,0,0,63.21,0,0,0,0,55,0,1.64,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0.81,2.42,0,0,0,105.54,0,0,0,0,67.68,0,1.61,0,0
 48-58,0,0,2.3,0,0,0.57,0.57,0,0,0,1.72,0.57,0,0,131.4,0.57,0,0,0,35.58,0,0,0,0
 60-70,0,0,12.76,0,1.96,4.91,0,0,0,0,1.96,0,0,0,233.6,0,0,0,0,48.09,0,0,0.98,0
 72-82,0,2.94,24.54,0,0,16.69,0,0.98,0,0,3.93,0,0.98,0,279.77,0.98,0,0,0,39.27,0.98,0,0,0.98
 84-94,0,4.25,20.18,0,0,5.31,0,1.06,0,0,2.12,0,0,1.06,151.87,0,0,1.06,0,15.93,0,0,0,1.06
 96-106,0,4.37,7.65,0,0,13.11,0,0,0,0,3.28,0,0,0,128.96,0,0,0,0,9.84,2.19,0,1.09,0
108-118,0,0.77,10.72,0,0,10.72,0,0,0,0,0.77,0,0,0,132.51,0,0,0,0.77,7.66,0.77,0,0,0
120,0,0,5.88,0,0,7.84,0,0,1.96,0,5.88,0,0,0,129.35,0,0,0,0,11.76,1.96,0,0,0
